"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"playerController","playerController","a","LPlayerControllerSP;","Lba;","SpawnerMonsters","aa","net/minecraft/src","0"
"recipeItems","recipeItems","b","[[Ljava/lang/Object;","[[Ljava/lang/Object;","RecipesArmor","ab","net/minecraft/src","0"
"recipePatterns","recipePatterns","a","[[Ljava/lang/String;","[[Ljava/lang/String;","RecipesArmor","ab","net/minecraft/src","0"
"tagMap","tagMap","a","Ljava/util/Map;","Ljava/util/Map;","NBTTagCompound","ae","net/minecraft/src","0"
"floatBuffer","floatBuffer","f","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","Tessellator","ag","net/minecraft/src","0"
"vboCount","vboCount","A","I","I","Tessellator","ag","net/minecraft/src","0"
"vertexCount","vertexCount","h","I","I","Tessellator","ag","net/minecraft/src","0"
"useVBO","useVBO","x","Z","Z","Tessellator","ag","net/minecraft/src","0"
"vertexBuffers","vertexBuffers","y","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","Tessellator","ag","net/minecraft/src","0"
"rawBufferIndex","rawBufferIndex","o","I","I","Tessellator","ag","net/minecraft/src","0"
"convertQuadsToTriangles","convertQuadsToTriangles","b","Z","Z","Tessellator","ag","net/minecraft/src","0"
"xOffset","xOffset","s","D","D","Tessellator","ag","net/minecraft/src","0"
"zOffset","zOffset","u","D","D","Tessellator","ag","net/minecraft/src","0"
"hasColor","hasColor","l","Z","Z","Tessellator","ag","net/minecraft/src","0"
"hasNormals","hasNormals","n","Z","Z","Tessellator","ag","net/minecraft/src","0"
"instance","instance","a","LTessellator;","Lag;","Tessellator","ag","net/minecraft/src","0"
"isColorDisabled","isColorDisabled","q","Z","Z","Tessellator","ag","net/minecraft/src","0"
"rawBuffer","rawBuffer","g","[I","[I","Tessellator","ag","net/minecraft/src","0"
"bufferSize","bufferSize","B","I","I","Tessellator","ag","net/minecraft/src","0"
"isDrawing","isDrawing","w","Z","Z","Tessellator","ag","net/minecraft/src","0"
"color","color","k","I","I","Tessellator","ag","net/minecraft/src","0"
"intBuffer","intBuffer","e","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","Tessellator","ag","net/minecraft/src","0"
"textureU","textureU","i","D","D","Tessellator","ag","net/minecraft/src","0"
"addedVertices","addedVertices","p","I","I","Tessellator","ag","net/minecraft/src","0"
"textureV","textureV","j","D","D","Tessellator","ag","net/minecraft/src","0"
"drawMode","drawMode","r","I","I","Tessellator","ag","net/minecraft/src","0"
"tryVBO","tryVBO","c","Z","Z","Tessellator","ag","net/minecraft/src","0"
"byteBuffer","byteBuffer","d","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","Tessellator","ag","net/minecraft/src","0"
"normal","normal","v","I","I","Tessellator","ag","net/minecraft/src","0"
"vboIndex","vboIndex","z","I","I","Tessellator","ag","net/minecraft/src","0"
"yOffset","yOffset","t","D","D","Tessellator","ag","net/minecraft/src","0"
"hasTexture","hasTexture","m","Z","Z","Tessellator","ag","net/minecraft/src","0"
"entityHashMap","entityHashMap","b","Ljava/util/Map;","Ljava/util/Map;","TileEntityMobSpawnerRenderer","ai","net/minecraft/src","0"
"isInTestMode","isInTestMode","b","Z","Z","PlayerController","aj","net/minecraft/src","0"
"mc","mc","a","LMinecraft;","Lav;","PlayerController","aj","net/minecraft/src","0"
"yCoord","yCoord","b","D","D","NoiseGeneratorPerlin","an","net/minecraft/src","0"
"xCoord","xCoord","a","D","D","NoiseGeneratorPerlin","an","net/minecraft/src","0"
"zCoord","zCoord","c","D","D","NoiseGeneratorPerlin","an","net/minecraft/src","0"
"permutations","permutations","d","[I","[I","NoiseGeneratorPerlin","an","net/minecraft/src","0"
"name","name","a","Ljava/lang/String;","Ljava/lang/String;","InventoryLargeChest","aq","net/minecraft/src","0"
"lowerChest","lowerChest","c","LIInventory;","Lkk;","InventoryLargeChest","aq","net/minecraft/src","0"
"upperChest","upperChest","b","LIInventory;","Lkk;","InventoryLargeChest","aq","net/minecraft/src","0"
"tickCounter","tickCounter","j","I","I","TextureWaterFlowFX","ar","net/minecraft/src","0"
"red","red","a","[F","[F","TextureWaterFlowFX","ar","net/minecraft/src","0"
"blue","blue","c","[F","[F","TextureWaterFlowFX","ar","net/minecraft/src","0"
"green","green","b","[F","[F","TextureWaterFlowFX","ar","net/minecraft/src","0"
"alpha","alpha","d","[F","[F","TextureWaterFlowFX","ar","net/minecraft/src","0"
"imageData","imageData","e","[B","[B","TextureFX","at","net/minecraft/src","0"
"anaglyphEnabled","anaglyphEnabled","g","Z","Z","TextureFX","at","net/minecraft/src","0"
"iconIndex","iconIndex","f","I","I","TextureFX","at","net/minecraft/src","0"
"tileSize","tileSize","i","I","I","TextureFX","at","net/minecraft/src","0"
"textureId","textureId","h","I","I","TextureFX","at","net/minecraft/src","0"
"isomPreview","isomPreview","a","LCanvasIsomPreview;","Lbd;","net/minecraft/isom/IsomPreviewApplet","net/minecraft/isom/IsomPreviewApplet","net/minecraft/isom","0"
"blocksEffectiveAgainst","blocksEffectiveAgainst","aF","[LBlock;","[Lgx;","ItemPickaxe","au","net/minecraft/src","0"
"harvestLevel","harvestLevel","aG","I","I","ItemPickaxe","au","net/minecraft/src","0"
"ticksRan","ticksRan","O","I","I","Minecraft","av","net/minecraft/src","0"
"mouseHelper","mouseHelper","B","LMouseHelper;","Lhy;","Minecraft","av","net/minecraft/src","0"
"running","running","F","Z","Z","Minecraft","av","net/minecraft/src","0"
"loadMapID","loadMapID","t","I","I","Minecraft","av","net/minecraft/src","0"
"timer","timer","M","LTimer;","Lcd;","Minecraft","av","net/minecraft/src","0"
"isRaining","isRaining","J","Z","Z","Minecraft","av","net/minecraft/src","0"
"mcCanvas","mcCanvas","k","Ljava/awt/Canvas;","Ljava/awt/Canvas;","Minecraft","av","net/minecraft/src","0"
"ingameGUI","ingameGUI","u","LGuiIngame;","Lgq;","Minecraft","av","net/minecraft/src","0"
"displayHeight","displayHeight","d","I","I","Minecraft","av","net/minecraft/src","0"
"systemTime","systemTime","K","J","J","Minecraft","av","net/minecraft/src","0"
"debug","debug","G","Ljava/lang/String;","Ljava/lang/String;","Minecraft","av","net/minecraft/src","0"
"currentScreen","currentScreen","p","LGuiScreen;","Lde;","Minecraft","av","net/minecraft/src","0"
"loadMapUser","loadMapUser","s","Ljava/lang/String;","Ljava/lang/String;","Minecraft","av","net/minecraft/src","0"
"mcApplet","mcApplet","z","Lnet/minecraft/client/MinecraftApplet;","Lnet/minecraft/client/MinecraftApplet;","Minecraft","av","net/minecraft/src","0"
"tempDisplayHeight","tempDisplayHeight","R","I","I","Minecraft","av","net/minecraft/src","0"
"thePlayer","thePlayer","g","LEntityPlayerSP;","Ldf;","Minecraft","av","net/minecraft/src","0"
"mouseTicksRan","mouseTicksRan","V","I","I","Minecraft","av","net/minecraft/src","0"
"inGameHasFocus","inGameHasFocus","I","Z","Z","Minecraft","av","net/minecraft/src","0"
"downloadResourcesThread","downloadResourcesThread","N","LThreadDownloadResources;","Lcx;","Minecraft","av","net/minecraft/src","0"
"displayWidth","displayWidth","c","I","I","Minecraft","av","net/minecraft/src","0"
"glCapabilities","glCapabilities","L","LOpenGlCapsChecker;","Lcv;","Minecraft","av","net/minecraft/src","0"
"mcDataDir","mcDataDir","C","Ljava/io/File;","Ljava/io/File;","Minecraft","av","net/minecraft/src","0"
"entityRenderer","entityRenderer","r","LEntityRenderer;","Lcb;","Minecraft","av","net/minecraft/src","0"
"tempDisplayWidth","tempDisplayWidth","Q","I","I","Minecraft","av","net/minecraft/src","0"
"fullscreen","fullscreen","a","Z","Z","Minecraft","av","net/minecraft/src","0"
"minecraftDir","minecraftDir","U","Ljava/io/File;","Ljava/io/File;","Minecraft","av","net/minecraft/src","0"
"renderEngine","renderEngine","n","LRenderEngine;","Lij;","Minecraft","av","net/minecraft/src","0"
"renderGlobal","renderGlobal","f","LRenderGlobal;","Lm;","Minecraft","av","net/minecraft/src","0"
"theWorld","theWorld","e","LWorld;","Lfi;","Minecraft","av","net/minecraft/src","0"
"playerController","playerController","b","LPlayerController;","Laj;","Minecraft","av","net/minecraft/src","0"
"isGamePaused","isGamePaused","m","Z","Z","Minecraft","av","net/minecraft/src","0"
"textureWaterFX","textureWaterFX","S","LTextureWaterFX;","Lhv;","Minecraft","av","net/minecraft/src","0"
"playerModelBiped","playerModelBiped","w","LModelBiped;","Lfk;","Minecraft","av","net/minecraft/src","0"
"skipRenderWorld","skipRenderWorld","v","Z","Z","Minecraft","av","net/minecraft/src","0"
"numRecordedFrameTimes","numRecordedFrameTimes","E","I","I","Minecraft","av","net/minecraft/src","0"
"options","options","y","LGameSettings;","Lji;","Minecraft","av","net/minecraft/src","0"
"textureLavaFX","textureLavaFX","T","LTextureLavaFX;","Lcc;","Minecraft","av","net/minecraft/src","0"
"fontRenderer","fontRenderer","o","LFontRenderer;","Lem;","Minecraft","av","net/minecraft/src","0"
"minecraftUri","minecraftUri","j","Ljava/lang/String;","Ljava/lang/String;","Minecraft","av","net/minecraft/src","0"
"effectRenderer","effectRenderer","h","LEffectRenderer;","Ldr;","Minecraft","av","net/minecraft/src","0"
"leftClickCounter","leftClickCounter","P","I","I","Minecraft","av","net/minecraft/src","0"
"session","session","i","LSession;","Lgl;","Minecraft","av","net/minecraft/src","0"
"hideQuitButton","hideQuitButton","l","Z","Z","Minecraft","av","net/minecraft/src","0"
"loadingScreen","loadingScreen","q","LLoadingScreenRenderer;","Li;","Minecraft","av","net/minecraft/src","0"
"frameTimes","frameTimes","D","[J","[J","Minecraft","av","net/minecraft/src","0"
"prevFrameTime","prevFrameTime","H","J","J","Minecraft","av","net/minecraft/src","0"
"sndManager","sndManager","A","LSoundManager;","Lkb;","Minecraft","av","net/minecraft/src","0"
"objectMouseOver","objectMouseOver","x","LMovingObjectPosition;","Lhg;","Minecraft","av","net/minecraft/src","0"
"numAdjacentSources","numAdjacentSources","a","I","I","BlockFlowing","aw","net/minecraft/src","0"
"isOptimalFlowDirection","isOptimalFlowDirection","b","[Z","[Z","BlockFlowing","aw","net/minecraft/src","0"
"flowCost","flowCost","c","[I","[I","BlockFlowing","aw","net/minecraft/src","0"
"blockRenderer","blockRenderer","d","LRenderBlocks;","Lcs;","RenderTNTPrimed","ax","net/minecraft/src","0"
"craftingInventory","craftingInventory","k","LInventoryCrafting;","Lt;","GuiCrafting","ay","net/minecraft/src","0"
"craftingResultInventory","craftingResultInventory","l","LIInventory;","Lkk;","GuiCrafting","ay","net/minecraft/src","0"
"itemRenderBlocks","itemRenderBlocks","d","LRenderBlocks;","Lcs;","RenderItem","az","net/minecraft/src","0"
"random","random","e","Ljava/util/Random;","Ljava/util/Random;","RenderItem","az","net/minecraft/src","0"
"blockHitWait","blockHitWait","i","I","I","PlayerControllerSP","ba","net/minecraft/src","0"
"curBlockDamage","curBlockDamage","f","F","F","PlayerControllerSP","ba","net/minecraft/src","0"
"blockDestroySoundCounter","blockDestroySoundCounter","h","F","F","PlayerControllerSP","ba","net/minecraft/src","0"
"prevBlockDamage","prevBlockDamage","g","F","F","PlayerControllerSP","ba","net/minecraft/src","0"
"monsterSpawner","monsterSpawner","j","LSpawnerAnimals;","Lcl;","PlayerControllerSP","ba","net/minecraft/src","0"
"curBlockX","curBlockX","c","I","I","PlayerControllerSP","ba","net/minecraft/src","0"
"animalSpawner","animalSpawner","k","LSpawnerAnimals;","Lcl;","PlayerControllerSP","ba","net/minecraft/src","0"
"curBlockZ","curBlockZ","e","I","I","PlayerControllerSP","ba","net/minecraft/src","0"
"curBlockY","curBlockY","d","I","I","PlayerControllerSP","ba","net/minecraft/src","0"
"isFull","isFull","a","I","I","ItemBucket","bb","net/minecraft/src","0"
"zoomLevel","zoomLevel","b","I","I","CanvasIsomPreview","bd","net/minecraft/src","0"
"dataFolder","dataFolder","e","Ljava/io/File;","Ljava/io/File;","CanvasIsomPreview","bd","net/minecraft/src","0"
