"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"addRecipes","addRecipes","a","(LCraftingManager;)V","(Lhd;)V","RecipesArmor","ab","net/minecraft/src","0"
"setInteger","setInteger","a","(Ljava/lang/String;I)V","(Ljava/lang/String;I)V","NBTTagCompound","ae","net/minecraft/src","0"
"setLong","setLong","a","(Ljava/lang/String;J)V","(Ljava/lang/String;J)V","NBTTagCompound","ae","net/minecraft/src","0"
"getShort","getShort","c","(Ljava/lang/String;)S","(Ljava/lang/String;)S","NBTTagCompound","ae","net/minecraft/src","0"
"getBoolean","getBoolean","k","(Ljava/lang/String;)Z","(Ljava/lang/String;)Z","NBTTagCompound","ae","net/minecraft/src","0"
"setString","setString","a","(Ljava/lang/String;Ljava/lang/String;)V","(Ljava/lang/String;Ljava/lang/String;)V","NBTTagCompound","ae","net/minecraft/src","0"
"setTag","setTag","a","(Ljava/lang/String;LNBTBase;)V","(Ljava/lang/String;Lhs;)V","NBTTagCompound","ae","net/minecraft/src","0"
"setByteArray","setByteArray","a","(Ljava/lang/String;[B)V","(Ljava/lang/String;[B)V","NBTTagCompound","ae","net/minecraft/src","0"
"setFloat","setFloat","a","(Ljava/lang/String;F)V","(Ljava/lang/String;F)V","NBTTagCompound","ae","net/minecraft/src","0"
"getCompoundTag","getCompoundTag","i","(Ljava/lang/String;)LNBTTagCompound;","(Ljava/lang/String;)Lae;","NBTTagCompound","ae","net/minecraft/src","0"
"getLong","getLong","e","(Ljava/lang/String;)J","(Ljava/lang/String;)J","NBTTagCompound","ae","net/minecraft/src","0"
"getInteger","getInteger","d","(Ljava/lang/String;)I","(Ljava/lang/String;)I","NBTTagCompound","ae","net/minecraft/src","0"
"setCompoundTag","setCompoundTag","a","(Ljava/lang/String;LNBTTagCompound;)V","(Ljava/lang/String;Lae;)V","NBTTagCompound","ae","net/minecraft/src","0"
"setBoolean","setBoolean","a","(Ljava/lang/String;Z)V","(Ljava/lang/String;Z)V","NBTTagCompound","ae","net/minecraft/src","0"
"getFloat","getFloat","f","(Ljava/lang/String;)F","(Ljava/lang/String;)F","NBTTagCompound","ae","net/minecraft/src","0"
"getByte","getByte","b","(Ljava/lang/String;)B","(Ljava/lang/String;)B","NBTTagCompound","ae","net/minecraft/src","0"
"setShort","setShort","a","(Ljava/lang/String;S)V","(Ljava/lang/String;S)V","NBTTagCompound","ae","net/minecraft/src","0"
"getByteArray","getByteArray","h","(Ljava/lang/String;)[B","(Ljava/lang/String;)[B","NBTTagCompound","ae","net/minecraft/src","0"
"getString","getString","g","(Ljava/lang/String;)Ljava/lang/String;","(Ljava/lang/String;)Ljava/lang/String;","NBTTagCompound","ae","net/minecraft/src","0"
"setByte","setByte","a","(Ljava/lang/String;B)V","(Ljava/lang/String;B)V","NBTTagCompound","ae","net/minecraft/src","0"
"hasKey","hasKey","a","(Ljava/lang/String;)Z","(Ljava/lang/String;)Z","NBTTagCompound","ae","net/minecraft/src","0"
"getTagList","getTagList","j","(Ljava/lang/String;)LNBTTagList;","(Ljava/lang/String;)Lev;","NBTTagCompound","ae","net/minecraft/src","0"
"setNotStationary","setNotStationary","h","(LWorld;III)V","(Lfi;III)V","BlockStationary","af","net/minecraft/src","0"
"addVertex","addVertex","a","(DDD)V","(DDD)V","Tessellator","ag","net/minecraft/src","0"
"setColorOpaque_F","setColorOpaque_F","a","(FFF)V","(FFF)V","Tessellator","ag","net/minecraft/src","0"
"setColorOpaque","setColorOpaque","a","(III)V","(III)V","Tessellator","ag","net/minecraft/src","0"
"draw","draw","a","()V","()V","Tessellator","ag","net/minecraft/src","0"
"setTextureUV","setTextureUV","a","(DD)V","(DD)V","Tessellator","ag","net/minecraft/src","0"
