"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"tryToCreatePortal","tryToCreatePortal","a_","(Lnet/minecraft/src/World;III)Z","(Leb;III)Z","net/minecraft/src/BlockPortal","ac","net/minecraft/src","0"
"func_4110_a","func_4110_a","a","(IDD)D","(IDD)D","net/minecraft/src/NoiseGeneratorPerlin","ae","net/minecraft/src","0"
"generateNoise","generateNoise","a","(DDD)D","(DDD)D","net/minecraft/src/NoiseGeneratorPerlin","ae","net/minecraft/src","0"
"func_801_a","func_801_a","a","(DD)D","(DD)D","net/minecraft/src/NoiseGeneratorPerlin","ae","net/minecraft/src","0"
"func_805_a","func_805_a","a","([DDDDIIIDDDD)V","([DDDDIIIDDDD)V","net/minecraft/src/NoiseGeneratorPerlin","ae","net/minecraft/src","0"
"grad","grad","a","(IDDD)D","(IDDD)D","net/minecraft/src/NoiseGeneratorPerlin","ae","net/minecraft/src","0"
"lerp","lerp","b","(DDD)D","(DDD)D","net/minecraft/src/NoiseGeneratorPerlin","ae","net/minecraft/src","0"
"writeGzippedCompoundToOutputStream","writeGzippedCompoundToOutputStream","a","(Lnet/minecraft/src/NBTTagCompound;Ljava/io/OutputStream;)V","(Llg;Ljava/io/OutputStream;)V","net/minecraft/src/CompressedStreamTools","ah","net/minecraft/src","0"
"func_1138_a","func_1138_a","a","(Ljava/io/InputStream;)Lnet/minecraft/src/NBTTagCompound;","(Ljava/io/InputStream;)Llg;","net/minecraft/src/CompressedStreamTools","ah","net/minecraft/src","0"
"func_1139_a","func_1139_a","a","(Lnet/minecraft/src/NBTTagCompound;Ljava/io/DataOutput;)V","(Llg;Ljava/io/DataOutput;)V","net/minecraft/src/CompressedStreamTools","ah","net/minecraft/src","0"
"func_1141_a","func_1141_a","a","(Ljava/io/DataInput;)Lnet/minecraft/src/NBTTagCompound;","(Ljava/io/DataInput;)Llg;","net/minecraft/src/CompressedStreamTools","ah","net/minecraft/src","0"
"onTick","onTick","a","()V","()V","net/minecraft/src/TextureFX","ai","net/minecraft/src","0"
"bindImage","bindImage","a","(Lnet/minecraft/src/RenderEngine;)V","(Lho;)V","net/minecraft/src/TextureFX","ai","net/minecraft/src","0"
"getRandomStackFromInventory","getRandomStackFromInventory","b","()Lnet/minecraft/src/ItemStack;","()Lhi;","net/minecraft/src/TileEntityDispenser","al","net/minecraft/src","0"
"doRenderItem","doRenderItem","a","(Lnet/minecraft/src/EntityItem;DDDFF)V","(Lgb;DDDFF)V","net/minecraft/src/RenderItem","am","net/minecraft/src","0"
"renderItemOverlayIntoGUI","renderItemOverlayIntoGUI","b","(Lnet/minecraft/src/FontRenderer;Lnet/minecraft/src/RenderEngine;Lnet/minecraft/src/ItemStack;II)V","(Lox;Lho;Lhi;II)V","net/minecraft/src/RenderItem","am","net/minecraft/src","0"
"renderItemIntoGUI","renderItemIntoGUI","a","(Lnet/minecraft/src/FontRenderer;Lnet/minecraft/src/RenderEngine;Lnet/minecraft/src/ItemStack;II)V","(Lox;Lho;Lhi;II)V","net/minecraft/src/RenderItem","am","net/minecraft/src","0"
"renderQuad","renderQuad","a","(Lnet/minecraft/src/Tessellator;IIIII)V","(Llj;IIIII)V","net/minecraft/src/RenderItem","am","net/minecraft/src","0"
"renderTexturedQuad","renderTexturedQuad","a","(IIIIII)V","(IIIIII)V","net/minecraft/src/RenderItem","am","net/minecraft/src","0"
"mouseMoved","mouseMoved","mouseMoved","(Ljava/awt/event/MouseEvent;)V","(Ljava/awt/event/MouseEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"isRunning","isRunning","a","(Lnet/minecraft/src/CanvasIsomPreview;)Z","(Lap;)Z","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"keyTyped","keyTyped","keyTyped","(Ljava/awt/event/KeyEvent;)V","(Ljava/awt/event/KeyEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"drawScreen","drawScreen","a","(Ljava/awt/Graphics2D;)V","(Ljava/awt/Graphics2D;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"mousePressed","mousePressed","mousePressed","(Ljava/awt/event/MouseEvent;)V","(Ljava/awt/event/MouseEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"func_1272_b","func_1272_b","b","()V","()V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"mouseExited","mouseExited","mouseExited","(Ljava/awt/event/MouseEvent;)V","(Ljava/awt/event/MouseEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"showNextBuffer","showNextBuffer","d","()V","()V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"update","update","update","(Ljava/awt/Graphics;)V","(Ljava/awt/Graphics;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"setTimeOfDay","setTimeOfDay","a","(I)V","(I)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"loadWorld","loadWorld","b","(Ljava/lang/String;)V","(Ljava/lang/String;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"mouseEntered","mouseEntered","mouseEntered","(Ljava/awt/event/MouseEvent;)V","(Ljava/awt/event/MouseEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"getOs","getOs","e","()Lnet/minecraft/src/EnumOS1;","()Lht;","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"getImageBuffer","getImageBuffer","a","(II)Lnet/minecraft/src/IsoImageBuffer;","(II)Lnx;","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"getAppDir","getAppDir","a","(Ljava/lang/String;)Ljava/io/File;","(Ljava/lang/String;)Ljava/io/File;","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"mouseDragged","mouseDragged","mouseDragged","(Ljava/awt/event/MouseEvent;)V","(Ljava/awt/event/MouseEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"exit","exit","c","()V","()V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"keyPressed","keyPressed","keyPressed","(Ljava/awt/event/KeyEvent;)V","(Ljava/awt/event/KeyEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"mouseReleased","mouseReleased","mouseReleased","(Ljava/awt/event/MouseEvent;)V","(Ljava/awt/event/MouseEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"getMinecraftDir","getMinecraftDir","a","()Ljava/io/File;","()Ljava/io/File;","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"keyReleased","keyReleased","keyReleased","(Ljava/awt/event/KeyEvent;)V","(Ljava/awt/event/KeyEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"mouseClicked","mouseClicked","mouseClicked","(Ljava/awt/event/MouseEvent;)V","(Ljava/awt/event/MouseEvent;)V","net/minecraft/src/CanvasIsomPreview","ap","net/minecraft/src","0"
"loadChunk","loadChunk","a","(Lnet/minecraft/src/World;II)Lnet/minecraft/src/Chunk;","(Leb;II)Ljg;","net/minecraft/src/IChunkLoader","ar","net/minecraft/src","0"
"saveExtraChunkData","saveExtraChunkData","b","(Lnet/minecraft/src/World;Lnet/minecraft/src/Chunk;)V","(Leb;Ljg;)V","net/minecraft/src/IChunkLoader","ar","net/minecraft/src","0"
"saveChunk","saveChunk","a","(Lnet/minecraft/src/World;Lnet/minecraft/src/Chunk;)V","(Leb;Ljg;)V","net/minecraft/src/IChunkLoader","ar","net/minecraft/src","0"
"saveExtraData","saveExtraData","b","()V","()V","net/minecraft/src/IChunkLoader","ar","net/minecraft/src","0"
"func_814_a","func_814_a","a","()V","()V","net/minecraft/src/IChunkLoader","ar","net/minecraft/src","0"
"removeLeaves","removeLeaves","h","(Lnet/minecraft/src/World;III)V","(Leb;III)V","net/minecraft/src/BlockLeaves","aw","net/minecraft/src","0"
"setGraphicsLevel","setGraphicsLevel","a","(Z)V","(Z)V","net/minecraft/src/BlockLeaves","aw","net/minecraft/src","0"
"func_22393_a","func_22393_a","a","(Lnet/minecraft/src/ChunkCoordinates;)I","(Lay;)I","net/minecraft/src/ChunkCoordinates","ay","net/minecraft/src","0"
"isCourseTraversable","isCourseTraversable","a","(DDDD)Z","(DDDD)Z","net/minecraft/src/EntityGhast","az","net/minecraft/src","0"
"func_319_i","func_319_i","i","(Lnet/minecraft/src/World;III)V","(Leb;III)V","net/minecraft/src/BlockRedstoneOre","ba","net/minecraft/src","0"
"func_320_h","func_320_h","h","(Lnet/minecraft/src/World;III)V","(Leb;III)V","net/minecraft/src/BlockRedstoneOre","ba","net/minecraft/src","0"
"rotateAroundY","rotateAroundY","b","(F)V","(F)V","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"squareDistanceTo","squareDistanceTo","d","(DDD)D","(DDD)D","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"getIntermediateWithYValue","getIntermediateWithYValue","b","(Lnet/minecraft/src/Vec3D;D)Lnet/minecraft/src/Vec3D;","(Lbb;D)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"getIntermediateWithZValue","getIntermediateWithZValue","c","(Lnet/minecraft/src/Vec3D;D)Lnet/minecraft/src/Vec3D;","(Lbb;D)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"setComponents","setComponents","e","(DDD)Lnet/minecraft/src/Vec3D;","(DDD)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"addVector","addVector","c","(DDD)Lnet/minecraft/src/Vec3D;","(DDD)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"createVector","createVector","b","(DDD)Lnet/minecraft/src/Vec3D;","(DDD)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"createVectorHelper","createVectorHelper","a","(DDD)Lnet/minecraft/src/Vec3D;","(DDD)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"getIntermediateWithXValue","getIntermediateWithXValue","a","(Lnet/minecraft/src/Vec3D;D)Lnet/minecraft/src/Vec3D;","(Lbb;D)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"lengthVector","lengthVector","c","()D","()D","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"subtract","subtract","a","(Lnet/minecraft/src/Vec3D;)Lnet/minecraft/src/Vec3D;","(Lbb;)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"crossProduct","crossProduct","b","(Lnet/minecraft/src/Vec3D;)Lnet/minecraft/src/Vec3D;","(Lbb;)Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"distanceTo","distanceTo","c","(Lnet/minecraft/src/Vec3D;)D","(Lbb;)D","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"squareDistanceTo","squareDistanceTo","d","(Lnet/minecraft/src/Vec3D;)D","(Lbb;)D","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"initialize","initialize","a","()V","()V","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"rotateAroundX","rotateAroundX","a","(F)V","(F)V","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"normalize","normalize","b","()Lnet/minecraft/src/Vec3D;","()Lbb;","net/minecraft/src/Vec3D","bb","net/minecraft/src","0"
"values","values","values","()[Lnet/minecraft/src/EnumToolMaterial;","()[Lbc;","net/minecraft/src/EnumToolMaterial","bc","net/minecraft/src","0"
"getMaxUses","getMaxUses","a","()I","()I","net/minecraft/src/EnumToolMaterial","bc","net/minecraft/src","0"
"getDamageVsEntity","getDamageVsEntity","c","()I","()I","net/minecraft/src/EnumToolMaterial","bc","net/minecraft/src","0"
"getEfficiencyOnProperMaterial","getEfficiencyOnProperMaterial","b","()F","()F","net/minecraft/src/EnumToolMaterial","bc","net/minecraft/src","0"
"getHarvestLevel","getHarvestLevel","d","()I","()I","net/minecraft/src/EnumToolMaterial","bc","net/minecraft/src","0"
"valueOf","valueOf","valueOf","(Ljava/lang/String;)Lnet/minecraft/src/EnumToolMaterial;","(Ljava/lang/String;)Lbc;","net/minecraft/src/EnumToolMaterial","bc","net/minecraft/src","0"
"setStateIfMobInteractsWithPlate","setStateIfMobInteractsWithPlate","h","(Lnet/minecraft/src/World;III)V","(Leb;III)V","net/minecraft/src/BlockPressurePlate","bd","net/minecraft/src","0"
"getWorldFromRenderManager","getWorldFromRenderManager","b","()Lnet/minecraft/src/World;","()Leb;","net/minecraft/src/Render","be","net/minecraft/src","0"
"renderEntityOnFire","renderEntityOnFire","a","(Lnet/minecraft/src/Entity;DDDF)V","(Lpb;DDDF)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"loadDownloadableImageTexture","loadDownloadableImageTexture","a","(Ljava/lang/String;Ljava/lang/String;)Z","(Ljava/lang/String;Ljava/lang/String;)Z","net/minecraft/src/Render","be","net/minecraft/src","0"
"doRender","doRender","a","(Lnet/minecraft/src/Entity;DDDFF)V","(Lpb;DDDFF)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"renderOffsetAABB","renderOffsetAABB","a","(Lnet/minecraft/src/AxisAlignedBB;DDD)V","(Ldq;DDD)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"renderShadowOnBlock","renderShadowOnBlock","a","(Lnet/minecraft/src/Block;DDDIIIFFDDD)V","(Lra;DDDIIIFFDDD)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"getFontRendererFromRenderManager","getFontRendererFromRenderManager","a","()Lnet/minecraft/src/FontRenderer;","()Lox;","net/minecraft/src/Render","be","net/minecraft/src","0"
"renderShadow","renderShadow","c","(Lnet/minecraft/src/Entity;DDDFF)V","(Lpb;DDDFF)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"doRenderShadowAndFire","doRenderShadowAndFire","b","(Lnet/minecraft/src/Entity;DDDFF)V","(Lpb;DDDFF)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"renderAABB","renderAABB","a","(Lnet/minecraft/src/AxisAlignedBB;)V","(Ldq;)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"setRenderManager","setRenderManager","a","(Lnet/minecraft/src/RenderManager;)V","(Lps;)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"loadTexture","loadTexture","a","(Ljava/lang/String;)V","(Ljava/lang/String;)V","net/minecraft/src/Render","be","net/minecraft/src","0"
"func_467_a","func_467_a","a","(DDDFF)V","(DDDFF)V","net/minecraft/src/EntitySnowball","bg","net/minecraft/src","0"
"wrap","wrap","a","(D)I","(D)I","net/minecraft/src/NoiseGenerator2","bk","net/minecraft/src","0"
"func_4157_a","func_4157_a","a","([DDDIIDDD)V","([DDDIIDDD)V","net/minecraft/src/NoiseGenerator2","bk","net/minecraft/src","0"
"func_4156_a","func_4156_a","a","([IDD)D","([IDD)D","net/minecraft/src/NoiseGenerator2","bk","net/minecraft/src","0"
"accept","accept","accept","(Ljava/io/File;Ljava/lang/String;)Z","(Ljava/io/File;Ljava/lang/String;)Z","net/minecraft/src/ChunkFolderPattern","br","net/minecraft/src","0"
"saveChunks","saveChunks","a","(ZLnet/minecraft/src/IProgressUpdate;)Z","(ZLtw;)Z","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"provideChunk","provideChunk","b","(II)Lnet/minecraft/src/Chunk;","(II)Ljg;","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"func_536_b","func_536_b","b","()Z","()Z","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"func_532_a","func_532_a","a","()Z","()Z","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"populate","populate","a","(Lnet/minecraft/src/IChunkProvider;II)V","(Lbs;II)V","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"chunkExists","chunkExists","a","(II)Z","(II)Z","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"func_538_d","func_538_d","c","(II)Lnet/minecraft/src/Chunk;","(II)Ljg;","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"toString","toString","c","()Ljava/lang/String;","()Ljava/lang/String;","net/minecraft/src/IChunkProvider","bs","net/minecraft/src","0"
"canCreatureTypeSpawnAtLocation","canCreatureTypeSpawnAtLocation","a","(Lnet/minecraft/src/EnumCreatureType;Lnet/minecraft/src/World;III)Z","(Lje;Leb;III)Z","net/minecraft/src/SpawnerAnimals","bv","net/minecraft/src","0"
"getRandomSpawningPointInChunk","getRandomSpawningPointInChunk","a","(Lnet/minecraft/src/World;II)Lnet/minecraft/src/ChunkPosition;","(Leb;II)Lsh;","net/minecraft/src/SpawnerAnimals","bv","net/minecraft/src","0"
"performSpawning","performSpawning","a","(Lnet/minecraft/src/World;ZZ)I","(Leb;ZZ)I","net/minecraft/src/SpawnerAnimals","bv","net/minecraft/src","0"
"creatureSpecificInit","creatureSpecificInit","a","(Lnet/minecraft/src/EntityLiving;Lnet/minecraft/src/World;FFF)V","(Ljm;Leb;FFF)V","net/minecraft/src/SpawnerAnimals","bv","net/minecraft/src","0"
"performSleepSpawning","performSleepSpawning","a","(Lnet/minecraft/src/World;Ljava/util/List;)Z","(Leb;Ljava/util/List;)Z","net/minecraft/src/SpawnerAnimals","bv","net/minecraft/src","0"
"func_22386_a","func_22386_a","a","(FF)F","(FF)F","net/minecraft/src/MouseFilter","bx","net/minecraft/src","0"
"func_1147_b","func_1147_b","b","()F","()F","net/minecraft/src/StepSound","by","net/minecraft/src","0"
"func_1146_a","func_1146_a","a","()Ljava/lang/String;","()Ljava/lang/String;","net/minecraft/src/StepSound","by","net/minecraft/src","0"
"func_1145_d","func_1145_d","d","()Ljava/lang/String;","()Ljava/lang/String;","net/minecraft/src/StepSound","by","net/minecraft/src","0"
"func_1144_c","func_1144_c","c","()F","()F","net/minecraft/src/StepSound","by","net/minecraft/src","0"
"renderItemIn3d","renderItemIn3d","a","(I)Z","(I)Z","net/minecraft/src/RenderBlocks","ca","net/minecraft/src","0"
"renderBlockFire","renderBlockFire","d","(Lnet/minecraft/src/Block;III)Z","(Lra;III)Z","net/minecraft/src/RenderBlocks","ca","net/minecraft/src","0"
"renderCrossedSquares","renderCrossedSquares","a","(Lnet/minecraft/src/Block;IDDD)V","(Lra;IDDD)V","net/minecraft/src/RenderBlocks","ca","net/minecraft/src","0"
"renderBlockCactus","renderBlockCactus","l","(Lnet/minecraft/src/Block;III)Z","(Lra;III)Z","net/minecraft/src/RenderBlocks","ca","net/minecraft/src","0"
