"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"field_21065_a","field_21065_a","a","F","F","net/minecraft/src/EntityNoteFX","ac","net/minecraft/src","0"
"entityHashMap","entityHashMap","b","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/src/TileEntityMobSpawnerRenderer","ae","net/minecraft/src","0"
"yCoord","yCoord","b","D","D","net/minecraft/src/NoiseGeneratorPerlin","aj","net/minecraft/src","0"
"xCoord","xCoord","a","D","D","net/minecraft/src/NoiseGeneratorPerlin","aj","net/minecraft/src","0"
"zCoord","zCoord","c","D","D","net/minecraft/src/NoiseGeneratorPerlin","aj","net/minecraft/src","0"
"permutations","permutations","d","[I","[I","net/minecraft/src/NoiseGeneratorPerlin","aj","net/minecraft/src","0"
"field_27320_a","field_27320_a","a","Lnet/minecraft/src/J_JsonFormatter;","Lln;","net/minecraft/src/J_JsonNodeDoesNotMatchPathElementsException","al","net/minecraft/src","0"
"NULL","NULL","g","Lnet/minecraft/src/EnumJsonNodeType;","Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"NUMBER","NUMBER","d","Lnet/minecraft/src/EnumJsonNodeType;","Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"STRING","STRING","c","Lnet/minecraft/src/EnumJsonNodeType;","Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"FALSE","FALSE","f","Lnet/minecraft/src/EnumJsonNodeType;","Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"$VALUES","$VALUES","$VALUES","[Lnet/minecraft/src/EnumJsonNodeType;","[Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"TRUE","TRUE","e","Lnet/minecraft/src/EnumJsonNodeType;","Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"ARRAY","ARRAY","b","Lnet/minecraft/src/EnumJsonNodeType;","Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"OBJECT","OBJECT","a","Lnet/minecraft/src/EnumJsonNodeType;","Lap;","net/minecraft/src/EnumJsonNodeType","ap","net/minecraft/src","0"
"blocksEffectiveAgainst","blocksEffectiveAgainst","bi","[Lnet/minecraft/src/Block;","[Lto;","net/minecraft/src/ItemPickaxe","aq","net/minecraft/src","0"
"field_4228_j","field_4228_j","j","D","D","net/minecraft/src/TextureCompassFX","ar","net/minecraft/src","0"
"field_4229_i","field_4229_i","i","D","D","net/minecraft/src/TextureCompassFX","ar","net/minecraft/src","0"
"mc","mc","g","Lnet/minecraft/client/Minecraft;","Lnet/minecraft/client/Minecraft;","net/minecraft/src/TextureCompassFX","ar","net/minecraft/src","0"
"field_4230_h","field_4230_h","h","[I","[I","net/minecraft/src/TextureCompassFX","ar","net/minecraft/src","0"
"anaglyphEnabled","anaglyphEnabled","c","Z","Z","net/minecraft/src/TextureFX","as","net/minecraft/src","0"
"iconIndex","iconIndex","b","I","I","net/minecraft/src/TextureFX","as","net/minecraft/src","0"
"field_1130_d","field_1130_d","d","I","I","net/minecraft/src/TextureFX","as","net/minecraft/src","0"
"imageData","imageData","a","[B","[B","net/minecraft/src/TextureFX","as","net/minecraft/src","0"
"tileImage","tileImage","f","I","I","net/minecraft/src/TextureFX","as","net/minecraft/src","0"
"tileSize","tileSize","e","I","I","net/minecraft/src/TextureFX","as","net/minecraft/src","0"
"dispenserRandom","dispenserRandom","b","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/src/TileEntityDispenser","at","net/minecraft/src","0"
"dispenserContents","dispenserContents","a","[Lnet/minecraft/src/ItemStack;","[Lii;","net/minecraft/src/TileEntityDispenser","at","net/minecraft/src","0"
"renderBlocks","renderBlocks","e","Lnet/minecraft/src/RenderBlocks;","Lcn;","net/minecraft/src/RenderItem","av","net/minecraft/src","0"
"field_27004_a","field_27004_a","a","Z","Z","net/minecraft/src/RenderItem","av","net/minecraft/src","0"
"random","random","f","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/src/RenderItem","av","net/minecraft/src","0"
"isFull","isFull","a","I","I","net/minecraft/src/ItemBucket","aw","net/minecraft/src","0"
"worldObj","worldObj","d","Lnet/minecraft/src/World;","Let;","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"displayHelpText","displayHelpText","c","Z","Z","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"zoomLevel","zoomLevel","b","I","I","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"field_1784_j","field_1784_j","j","I","I","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"dataFolder","dataFolder","e","Ljava/io/File;","Ljava/io/File;","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"yPosition","yPosition","l","I","I","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"running","running","f","Z","Z","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"field_1793_a","field_1793_a","a","I","I","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"imageBuffers","imageBuffers","h","[[Lnet/minecraft/src/IsoImageBuffer;","[[Lqe;","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"imageBufferList","imageBufferList","g","Ljava/util/List;","Ljava/util/List;","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"field_1785_i","field_1785_i","i","I","I","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"xPosition","xPosition","k","I","I","net/minecraft/src/CanvasIsomPreview","ax","net/minecraft/src","0"
"plantBlockId","plantBlockId","a","I","I","net/minecraft/src/WorldGenFlowers","ay","net/minecraft/src","0"
"soundUrl","soundUrl","b","Ljava/net/URL;","Ljava/net/URL;","net/minecraft/src/SoundPoolEntry","bb","net/minecraft/src","0"
"soundName","soundName","a","Ljava/lang/String;","Ljava/lang/String;","net/minecraft/src/SoundPoolEntry","bb","net/minecraft/src","0"
"field_25211_b","field_25211_b","b","I","I","net/minecraft/src/SpawnListEntry","bd","net/minecraft/src","0"
"field_25212_a","field_25212_a","a","Ljava/lang/Class;","Ljava/lang/Class;","net/minecraft/src/SpawnListEntry","bd","net/minecraft/src","0"
"adjacentTreeBlocks","adjacentTreeBlocks","a","[I","[I","net/minecraft/src/BlockLeaves","be","net/minecraft/src","0"
"baseIndexInPNG","baseIndexInPNG","c","I","I","net/minecraft/src/BlockLeaves","be","net/minecraft/src","0"
"cookTime","cookTime","b","I","I","net/minecraft/src/ContainerFurnace","bf","net/minecraft/src","0"
"burnTime","burnTime","c","I","I","net/minecraft/src/ContainerFurnace","bf","net/minecraft/src","0"
"itemBurnTime","itemBurnTime","h","I","I","net/minecraft/src/ContainerFurnace","bf","net/minecraft/src","0"
"furnace","furnace","a","Lnet/minecraft/src/TileEntityFurnace;","Lrg;","net/minecraft/src/ContainerFurnace","bf","net/minecraft/src","0"
"courseChangeCooldown","courseChangeCooldown","a","I","I","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"prevAttackCounter","prevAttackCounter","e","I","I","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"targetedEntity","targetedEntity","g","Lnet/minecraft/src/Entity;","Lrj;","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"waypointX","waypointX","b","D","D","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"attackCounter","attackCounter","f","I","I","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"waypointZ","waypointZ","d","D","D","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"aggroCooldown","aggroCooldown","h","I","I","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"waypointY","waypointY","c","D","D","net/minecraft/src/EntityGhast","bi","net/minecraft/src","0"
"z","z","c","I","I","net/minecraft/src/ChunkCoordinates","bk","net/minecraft/src","0"
"y","y","b","I","I","net/minecraft/src/ChunkCoordinates","bk","net/minecraft/src","0"
"x","x","a","I","I","net/minecraft/src/ChunkCoordinates","bk","net/minecraft/src","0"
"field_468_a","field_468_a","a","Z","Z","net/minecraft/src/BlockRedstoneOre","bl","net/minecraft/src","0"
"nextVector","nextVector","e","I","I","net/minecraft/src/Vec3D","bm","net/minecraft/src","0"
"yCoord","yCoord","b","D","D","net/minecraft/src/Vec3D","bm","net/minecraft/src","0"
"vectorList","vectorList","d","Ljava/util/List;","Ljava/util/List;","net/minecraft/src/Vec3D","bm","net/minecraft/src","0"
"xCoord","xCoord","a","D","D","net/minecraft/src/Vec3D","bm","net/minecraft/src","0"
"zCoord","zCoord","c","D","D","net/minecraft/src/Vec3D","bm","net/minecraft/src","0"
"harvestLevel","harvestLevel","f","I","I","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
"maxUses","maxUses","g","I","I","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
"damageVsEntity","damageVsEntity","i","I","I","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
"efficiencyOnProperMaterial","efficiencyOnProperMaterial","h","F","F","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
"EMERALD","EMERALD","d","Lnet/minecraft/src/EnumToolMaterial;","Lbn;","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
"IRON","IRON","c","Lnet/minecraft/src/EnumToolMaterial;","Lbn;","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
"$VALUES","$VALUES","$VALUES","[Lnet/minecraft/src/EnumToolMaterial;","[Lbn;","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
"GOLD","GOLD","e","Lnet/minecraft/src/EnumToolMaterial;","Lbn;","net/minecraft/src/EnumToolMaterial","bn","net/minecraft/src","0"
