"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"returnEnumOptions","returnEnumOptions","a","()LEnumOptions;","()Lht;","GuiSmallButton","ab","net/minecraft/src","0"
"renderTileEntityMobSpawner","renderTileEntityMobSpawner","a","(LTileEntityMobSpawner;DDDF)V","(Lcy;DDDF)V","TileEntityMobSpawnerRenderer","ag","net/minecraft/src","0"
"tryToCreatePortal","tryToCreatePortal","a_","(LWorld;III)Z","(Lfd;III)Z","BlockPortal","ak","net/minecraft/src","0"
"generateNoise","generateNoise","a","(DDD)D","(DDD)D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"func_801_a","func_801_a","a","(DD)D","(DD)D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"func_805_a","func_805_a","a","([DDDDIIIDDDD)V","([DDDDIIIDDDD)V","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"grad","grad","a","(IDDD)D","(IDDD)D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"lerp","lerp","b","(DDD)D","(DDD)D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"func_4110_a","func_4110_a","a","(IDD)D","(IDD)D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"func_27456_e","func_27456_e","e","(LJ_PositionTrackingPushbackReader;)Ljava/lang/String;","(Llj;)Ljava/lang/String;","J_SajParser","an","net/minecraft/src","0"
"func_27462_f","func_27462_f","f","(LJ_PositionTrackingPushbackReader;)Ljava/lang/String;","(Llj;)Ljava/lang/String;","J_SajParser","an","net/minecraft/src","0"
"func_27454_g","func_27454_g","g","(LJ_PositionTrackingPushbackReader;)Ljava/lang/String;","(Llj;)Ljava/lang/String;","J_SajParser","an","net/minecraft/src","0"
"func_27459_a","func_27459_a","a","(LJ_PositionTrackingPushbackReader;)Ljava/lang/String;","(Llj;)Ljava/lang/String;","J_SajParser","an","net/minecraft/src","0"
"func_27451_b","func_27451_b","b","(LJ_PositionTrackingPushbackReader;)Ljava/lang/String;","(Llj;)Ljava/lang/String;","J_SajParser","an","net/minecraft/src","0"
"func_27463_a","func_27463_a","a","(Ljava/io/Reader;LJ_JsonListener;)V","(Ljava/io/Reader;Lwg;)V","J_SajParser","an","net/minecraft/src","0"
"func_27460_c","func_27460_c","c","(LJ_PositionTrackingPushbackReader;)C","(Llj;)C","J_SajParser","an","net/minecraft/src","0"
"func_27458_d","func_27458_d","d","(LJ_PositionTrackingPushbackReader;)C","(Llj;)C","J_SajParser","an","net/minecraft/src","0"
"func_27450_k","func_27450_k","k","(LJ_PositionTrackingPushbackReader;)I","(Llj;)I","J_SajParser","an","net/minecraft/src","0"
"func_27461_h","func_27461_h","h","(LJ_PositionTrackingPushbackReader;)Ljava/lang/String;","(Llj;)Ljava/lang/String;","J_SajParser","an","net/minecraft/src","0"
"func_27448_l","func_27448_l","l","(LJ_PositionTrackingPushbackReader;)I","(Llj;)I","J_SajParser","an","net/minecraft/src","0"
"func_27452_i","func_27452_i","i","(LJ_PositionTrackingPushbackReader;)Ljava/lang/String;","(Llj;)Ljava/lang/String;","J_SajParser","an","net/minecraft/src","0"
"func_27464_d","func_27464_d","d","(LJ_PositionTrackingPushbackReader;LJ_JsonListener;)V","(Llj;Lwg;)V","J_SajParser","an","net/minecraft/src","0"
"func_27457_j","func_27457_j","j","(LJ_PositionTrackingPushbackReader;)C","(Llj;)C","J_SajParser","an","net/minecraft/src","0"
"func_27449_c","func_27449_c","c","(LJ_PositionTrackingPushbackReader;LJ_JsonListener;)V","(Llj;Lwg;)V","J_SajParser","an","net/minecraft/src","0"
"func_27453_b","func_27453_b","b","(LJ_PositionTrackingPushbackReader;LJ_JsonListener;)V","(Llj;Lwg;)V","J_SajParser","an","net/minecraft/src","0"
"func_27455_a","func_27455_a","a","(LJ_PositionTrackingPushbackReader;LJ_JsonListener;)V","(Llj;Lwg;)V","J_SajParser","an","net/minecraft/src","0"
"func_27318_b","func_27318_b","b","(LJ_JsonNodeDoesNotMatchChainedJsonNodeSelectorException;[Ljava/lang/Object;LJ_JsonRootNode;)Ljava/lang/String;","(Lmz;[Ljava/lang/Object;Lqe;)Ljava/lang/String;","J_JsonNodeDoesNotMatchPathElementsException","ao","net/minecraft/src","0"
"func_27319_a","func_27319_a","a","(LJ_JsonNodeDoesNotMatchChainedJsonNodeSelectorException;[Ljava/lang/Object;LJ_JsonRootNode;)LJ_JsonNodeDoesNotMatchPathElementsException;","(Lmz;[Ljava/lang/Object;Lqe;)Lao;","J_JsonNodeDoesNotMatchPathElementsException","ao","net/minecraft/src","0"
"func_27317_a","func_27317_a","a","([Ljava/lang/Object;)Ljava/lang/String;","([Ljava/lang/Object;)Ljava/lang/String;","J_JsonNodeDoesNotMatchPathElementsException","ao","net/minecraft/src","0"
"func_1141_a","func_1141_a","a","(Ljava/io/DataInput;)LNBTTagCompound;","(Ljava/io/DataInput;)Lnu;","CompressedStreamTools","as","net/minecraft/src","0"
"func_1139_a","func_1139_a","a","(LNBTTagCompound;Ljava/io/DataOutput;)V","(Lnu;Ljava/io/DataOutput;)V","CompressedStreamTools","as","net/minecraft/src","0"
"func_1138_a","func_1138_a","a","(Ljava/io/InputStream;)LNBTTagCompound;","(Ljava/io/InputStream;)Lnu;","CompressedStreamTools","as","net/minecraft/src","0"
"writeGzippedCompoundToOutputStream","writeGzippedCompoundToOutputStream","a","(LNBTTagCompound;Ljava/io/OutputStream;)V","(Lnu;Ljava/io/OutputStream;)V","CompressedStreamTools","as","net/minecraft/src","0"
"values","values","values","()[LEnumJsonNodeType;","()[Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"valueOf","valueOf","valueOf","(Ljava/lang/String;)LEnumJsonNodeType;","(Ljava/lang/String;)Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"bindImage","bindImage","a","(LRenderEngine;)V","(Lji;)V","TextureFX","aw","net/minecraft/src","0"
"onTick","onTick","a","()V","()V","TextureFX","aw","net/minecraft/src","0"
"getRandomStackFromInventory","getRandomStackFromInventory","b","()LItemStack;","()Liz;","TileEntityDispenser","az","net/minecraft/src","0"
"func_27063_c","func_27063_c","c","(Ljava/lang/Object;)Ljava/lang/Object;","(Ljava/lang/Object;)Ljava/lang/Object;","J_LeafFunctor","ba","net/minecraft/src","0"
"renderItemIntoGUI","renderItemIntoGUI","a","(LFontRenderer;LRenderEngine;LItemStack;II)V","(Lsj;Lji;Liz;II)V","RenderItem","bb","net/minecraft/src","0"
"renderQuad","renderQuad","a","(LTessellator;IIIII)V","(Lnw;IIIII)V","RenderItem","bb","net/minecraft/src","0"
"renderTexturedQuad","renderTexturedQuad","a","(IIIIII)V","(IIIIII)V","RenderItem","bb","net/minecraft/src","0"
"doRenderItem","doRenderItem","a","(LEntityItem;DDDFF)V","(Lhl;DDDFF)V","RenderItem","bb","net/minecraft/src","0"
"renderItemOverlayIntoGUI","renderItemOverlayIntoGUI","b","(LFontRenderer;LRenderEngine;LItemStack;II)V","(Lsj;Lji;Liz;II)V","RenderItem","bb","net/minecraft/src","0"
