"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"craftResult","craftResult","b","LIInventory;","Llw;","ContainerPlayer","aa","net/minecraft/src","0"
"isSinglePlayer","isSinglePlayer","c","Z","Z","ContainerPlayer","aa","net/minecraft/src","0"
"craftMatrix","craftMatrix","a","LInventoryCrafting;","Lmq;","ContainerPlayer","aa","net/minecraft/src","0"
"enumOptions","enumOptions","i","LEnumOptions;","Lht;","GuiSmallButton","ab","net/minecraft/src","0"
"field_21065_a","field_21065_a","a","F","F","EntityNoteFX","ae","net/minecraft/src","0"
"entityHashMap","entityHashMap","b","Ljava/util/Map;","Ljava/util/Map;","TileEntityMobSpawnerRenderer","ag","net/minecraft/src","0"
"field_28056_c","field_28056_c","c","[B","[B","Packet131MapData","ai","net/minecraft/src","0"
"field_28054_b","field_28054_b","b","S","S","Packet131MapData","ai","net/minecraft/src","0"
"field_28055_a","field_28055_a","a","S","S","Packet131MapData","ai","net/minecraft/src","0"
"xCoord","xCoord","a","D","D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"zCoord","zCoord","c","D","D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"yCoord","yCoord","b","D","D","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"permutations","permutations","d","[I","[I","NoiseGeneratorPerlin","am","net/minecraft/src","0"
"field_27320_a","field_27320_a","a","LJ_JsonFormatter;","Lml;","J_JsonNodeDoesNotMatchPathElementsException","ao","net/minecraft/src","0"
"field_28060_a","field_28060_a","a","I","I","WorldGenTallGrass","ap","net/minecraft/src","0"
"field_28059_b","field_28059_b","b","I","I","WorldGenTallGrass","ap","net/minecraft/src","0"
"field_27442_h","field_27442_h","h","[LEnumJsonNodeType;","[Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"NULL","NULL","g","LEnumJsonNodeType;","Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"NUMBER","NUMBER","d","LEnumJsonNodeType;","Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"STRING","STRING","c","LEnumJsonNodeType;","Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"FALSE","FALSE","f","LEnumJsonNodeType;","Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"$VALUES","$VALUES","$VALUES","[LEnumJsonNodeType;","[Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"TRUE","TRUE","e","LEnumJsonNodeType;","Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"ARRAY","ARRAY","b","LEnumJsonNodeType;","Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"OBJECT","OBJECT","a","LEnumJsonNodeType;","Lat;","EnumJsonNodeType","at","net/minecraft/src","0"
"blocksEffectiveAgainst","blocksEffectiveAgainst","bk","[LBlock;","[Luu;","ItemPickaxe","au","net/minecraft/src","0"
"field_4228_j","field_4228_j","j","D","D","TextureCompassFX","av","net/minecraft/src","0"
"field_4229_i","field_4229_i","i","D","D","TextureCompassFX","av","net/minecraft/src","0"
"mc","mc","g","Lnet/minecraft/client/Minecraft;","Lnet/minecraft/client/Minecraft;","TextureCompassFX","av","net/minecraft/src","0"
"compassIconImageData","compassIconImageData","h","[I","[I","TextureCompassFX","av","net/minecraft/src","0"
"anaglyphEnabled","anaglyphEnabled","c","Z","Z","TextureFX","aw","net/minecraft/src","0"
"iconIndex","iconIndex","b","I","I","TextureFX","aw","net/minecraft/src","0"
"textureId","textureId","d","I","I","TextureFX","aw","net/minecraft/src","0"
"imageData","imageData","a","[B","[B","TextureFX","aw","net/minecraft/src","0"
"tileImage","tileImage","f","I","I","TextureFX","aw","net/minecraft/src","0"
"tileSize","tileSize","e","I","I","TextureFX","aw","net/minecraft/src","0"
"field_28218_e","field_28218_e","e","LMapData;","Liu;","MapCoord","ax","net/minecraft/src","0"
"field_28216_b","field_28216_b","b","B","B","MapCoord","ax","net/minecraft/src","0"
"field_28217_a","field_28217_a","a","B","B","MapCoord","ax","net/minecraft/src","0"
"field_28219_d","field_28219_d","d","B","B","MapCoord","ax","net/minecraft/src","0"
"field_28220_c","field_28220_c","c","B","B","MapCoord","ax","net/minecraft/src","0"
"dispenserContents","dispenserContents","a","[LItemStack;","[Liz;","TileEntityDispenser","az","net/minecraft/src","0"
"dispenserRandom","dispenserRandom","b","Ljava/util/Random;","Ljava/util/Random;","TileEntityDispenser","az","net/minecraft/src","0"
"renderBlocks","renderBlocks","e","LRenderBlocks;","Lcv;","RenderItem","bb","net/minecraft/src","0"
"field_27004_a","field_27004_a","a","Z","Z","RenderItem","bb","net/minecraft/src","0"
"random","random","f","Ljava/util/Random;","Ljava/util/Random;","RenderItem","bb","net/minecraft/src","0"
"isFull","isFull","a","I","I","ItemBucket","bc","net/minecraft/src","0"
"dataFolder","dataFolder","e","Ljava/io/File;","Ljava/io/File;","CanvasIsomPreview","bd","net/minecraft/src","0"
"field_1793_a","field_1793_a","a","I","I","CanvasIsomPreview","bd","net/minecraft/src","0"
"field_1785_i","field_1785_i","i","I","I","CanvasIsomPreview","bd","net/minecraft/src","0"
"yPosition","yPosition","l","I","I","CanvasIsomPreview","bd","net/minecraft/src","0"
"displayHelpText","displayHelpText","c","Z","Z","CanvasIsomPreview","bd","net/minecraft/src","0"
"zoomLevel","zoomLevel","b","I","I","CanvasIsomPreview","bd","net/minecraft/src","0"
"imageBuffers","imageBuffers","h","[[LIsoImageBuffer;","[[Lre;","CanvasIsomPreview","bd","net/minecraft/src","0"
"field_1784_j","field_1784_j","j","I","I","CanvasIsomPreview","bd","net/minecraft/src","0"
"xPosition","xPosition","k","I","I","CanvasIsomPreview","bd","net/minecraft/src","0"
"running","running","f","Z","Z","CanvasIsomPreview","bd","net/minecraft/src","0"
"worldObj","worldObj","d","LWorld;","Lfd;","CanvasIsomPreview","bd","net/minecraft/src","0"
"imageBufferList","imageBufferList","g","Ljava/util/List;","Ljava/util/List;","CanvasIsomPreview","bd","net/minecraft/src","0"
"plantBlockId","plantBlockId","a","I","I","WorldGenFlowers","be","net/minecraft/src","0"
"soundName","soundName","a","Ljava/lang/String;","Ljava/lang/String;","SoundPoolEntry","bh","net/minecraft/src","0"
"soundUrl","soundUrl","b","Ljava/net/URL;","Ljava/net/URL;","SoundPoolEntry","bh","net/minecraft/src","0"
"spawnRarityRate","spawnRarityRate","b","I","I","SpawnListEntry","bj","net/minecraft/src","0"
"entityClass","entityClass","a","Ljava/lang/Class;","Ljava/lang/Class;","SpawnListEntry","bj","net/minecraft/src","0"
"baseIndexInPNG","baseIndexInPNG","c","I","I","BlockLeaves","bk","net/minecraft/src","0"
"adjacentTreeBlocks","adjacentTreeBlocks","a","[I","[I","BlockLeaves","bk","net/minecraft/src","0"
"furnace","furnace","a","LTileEntityFurnace;","Lsk;","ContainerFurnace","bm","net/minecraft/src","0"
"itemBurnTime","itemBurnTime","h","I","I","ContainerFurnace","bm","net/minecraft/src","0"
"burnTime","burnTime","c","I","I","ContainerFurnace","bm","net/minecraft/src","0"
"cookTime","cookTime","b","I","I","ContainerFurnace","bm","net/minecraft/src","0"
"aggroCooldown","aggroCooldown","h","I","I","EntityGhast","bp","net/minecraft/src","0"
"waypointY","waypointY","c","D","D","EntityGhast","bp","net/minecraft/src","0"
"waypointX","waypointX","b","D","D","EntityGhast","bp","net/minecraft/src","0"
"waypointZ","waypointZ","d","D","D","EntityGhast","bp","net/minecraft/src","0"
"targetedEntity","targetedEntity","g","LEntity;","Lsn;","EntityGhast","bp","net/minecraft/src","0"
"courseChangeCooldown","courseChangeCooldown","a","I","I","EntityGhast","bp","net/minecraft/src","0"
"attackCounter","attackCounter","f","I","I","EntityGhast","bp","net/minecraft/src","0"
"prevAttackCounter","prevAttackCounter","e","I","I","EntityGhast","bp","net/minecraft/src","0"
"y","y","b","I","I","ChunkCoordinates","br","net/minecraft/src","0"
"x","x","a","I","I","ChunkCoordinates","br","net/minecraft/src","0"
"z","z","c","I","I","ChunkCoordinates","br","net/minecraft/src","0"
"field_468_a","field_468_a","a","Z","Z","BlockRedstoneOre","bs","net/minecraft/src","0"
"vectorList","vectorList","d","Ljava/util/List;","Ljava/util/List;","Vec3D","bt","net/minecraft/src","0"
"xCoord","xCoord","a","D","D","Vec3D","bt","net/minecraft/src","0"
"nextVector","nextVector","e","I","I","Vec3D","bt","net/minecraft/src","0"
"zCoord","zCoord","c","D","D","Vec3D","bt","net/minecraft/src","0"
"yCoord","yCoord","b","D","D","Vec3D","bt","net/minecraft/src","0"
"field_21209_j","field_21209_j","j","[LEnumToolMaterial;","[Lbu;","EnumToolMaterial","bu","net/minecraft/src","0"
"EMERALD","EMERALD","d","LEnumToolMaterial;","Lbu;","EnumToolMaterial","bu","net/minecraft/src","0"
"IRON","IRON","c","LEnumToolMaterial;","Lbu;","EnumToolMaterial","bu","net/minecraft/src","0"
"maxUses","maxUses","g","I","I","EnumToolMaterial","bu","net/minecraft/src","0"
"$VALUES","$VALUES","$VALUES","[LEnumToolMaterial;","[Lbu;","EnumToolMaterial","bu","net/minecraft/src","0"
"harvestLevel","harvestLevel","f","I","I","EnumToolMaterial","bu","net/minecraft/src","0"
"GOLD","GOLD","e","LEnumToolMaterial;","Lbu;","EnumToolMaterial","bu","net/minecraft/src","0"
"damageVsEntity","damageVsEntity","i","I","I","EnumToolMaterial","bu","net/minecraft/src","0"
"efficiencyOnProperMaterial","efficiencyOnProperMaterial","h","F","F","EnumToolMaterial","bu","net/minecraft/src","0"
"STONE","STONE","b","LEnumToolMaterial;","Lbu;","EnumToolMaterial","bu","net/minecraft/src","0"
"WOOD","WOOD","a","LEnumToolMaterial;","Lbu;","EnumToolMaterial","bu","net/minecraft/src","0"
"triggerMobType","triggerMobType","a","LEnumMobType;","Lrt;","BlockPressurePlate","bv","net/minecraft/src","0"
"modelBase","modelBase","a","LModelBase;","Lko;","Render","bw","net/minecraft/src","0"
"field_194_c","field_194_c","d","F","F","Render","bw","net/minecraft/src","0"
"shadowSize","shadowSize","c","F","F","Render","bw","net/minecraft/src","0"
"renderBlocks","renderBlocks","e","LRenderBlocks;","Lcv;","Render","bw","net/minecraft/src","0"
"renderManager","renderManager","b","LRenderManager;","Lth;","Render","bw","net/minecraft/src","0"
"shakeSnowball","shakeSnowball","a","I","I","EntitySnowball","by","net/minecraft/src","0"
"yTileSnowball","yTileSnowball","c","I","I","EntitySnowball","by","net/minecraft/src","0"
"xTileSnowball","xTileSnowball","b","I","I","EntitySnowball","by","net/minecraft/src","0"
"thrower","thrower","g","LEntityLiving;","Lls;","EntitySnowball","by","net/minecraft/src","0"
"inGroundSnowball","inGroundSnowball","f","Z","Z","EntitySnowball","by","net/minecraft/src","0"
"inTileSnowball","inTileSnowball","e","I","I","EntitySnowball","by","net/minecraft/src","0"
"zTileSnowball","zTileSnowball","d","I","I","EntitySnowball","by","net/minecraft/src","0"
"ticksInAirSnowball","ticksInAirSnowball","i","I","I","EntitySnowball","by","net/minecraft/src","0"
"ticksInGroundSnowball","ticksInGroundSnowball","h","I","I","EntitySnowball","by","net/minecraft/src","0"
"field_25019_b","field_25019_b","b","I","I","Packet70Bed","ca","net/minecraft/src","0"
"field_25020_a","field_25020_a","a","[Ljava/lang/String;","[Ljava/lang/String;","Packet70Bed","ca","net/minecraft/src","0"
"field_4293_g","field_4293_g","g","D","D","NoiseGenerator2","cc","net/minecraft/src","0"
"field_4294_f","field_4294_f","f","D","D","NoiseGenerator2","cc","net/minecraft/src","0"
"field_4296_d","field_4296_d","d","[[I","[[I","NoiseGenerator2","cc","net/minecraft/src","0"
"field_4295_e","field_4295_e","e","[I","[I","NoiseGenerator2","cc","net/minecraft/src","0"
"field_4292_a","field_4292_a","a","D","D","NoiseGenerator2","cc","net/minecraft/src","0"
"field_4297_c","field_4297_c","c","D","D","NoiseGenerator2","cc","net/minecraft/src","0"
"field_4291_b","field_4291_b","b","D","D","NoiseGenerator2","cc","net/minecraft/src","0"
"field_20125_a","field_20125_a","a","LIInventory;","Llw;","ContainerChest","cd","net/minecraft/src","0"
"field_27282_b","field_27282_b","b","I","I","ContainerChest","cd","net/minecraft/src","0"
"targetEntity","targetEntity","b","I","I","Packet7UseEntity","a","net/minecraft/src","0"
"isLeftClick","isLeftClick","c","I","I","Packet7UseEntity","a","net/minecraft/src","0"
"playerEntityId","playerEntityId","a","I","I","Packet7UseEntity","a","net/minecraft/src","0"
"message1","message1","a","Ljava/lang/String;","Ljava/lang/String;","GuiUnused","ce","net/minecraft/src","0"
"message2","message2","i","Ljava/lang/String;","Ljava/lang/String;","GuiUnused","ce","net/minecraft/src","0"
"guidMap","guidMap","b","Ljava/util/Map;","Ljava/util/Map;","AchievementMap","b","net/minecraft/src","0"
"instance","instance","a","LAchievementMap;","Lb;","AchievementMap","b","net/minecraft/src","0"
"field_9395_l","field_9395_l","l","I","I","EntityFireball","cf","net/minecraft/src","0"
"field_9406_a","field_9406_a","a","I","I","EntityFireball","cf","net/minecraft/src","0"
"field_9402_e","field_9402_e","f","I","I","EntityFireball","cf","net/minecraft/src","0"
"field_9397_j","field_9397_j","b","LEntityLiving;","Lls;","EntityFireball","cf","net/minecraft/src","0"
"field_9401_f","field_9401_f","g","I","I","EntityFireball","cf","net/minecraft/src","0"
"field_9405_b","field_9405_b","c","D","D","EntityFireball","cf","net/minecraft/src","0"
"field_9400_g","field_9400_g","h","I","I","EntityFireball","cf","net/minecraft/src","0"
"field_9404_c","field_9404_c","d","D","D","EntityFireball","cf","net/minecraft/src","0"
"field_9398_i","field_9398_i","j","Z","Z","EntityFireball","cf","net/minecraft/src","0"
"field_9399_h","field_9399_h","i","I","I","EntityFireball","cf","net/minecraft/src","0"
"field_9403_d","field_9403_d","e","D","D","EntityFireball","cf","net/minecraft/src","0"
"field_9396_k","field_9396_k","k","I","I","EntityFireball","cf","net/minecraft/src","0"
"field_27028_b","field_27028_b","b","I","I","EntityLightningBolt","c","net/minecraft/src","0"
"field_27030_c","field_27030_c","c","I","I","EntityLightningBolt","c","net/minecraft/src","0"
"field_27029_a","field_27029_a","a","J","J","EntityLightningBolt","c","net/minecraft/src","0"
"field_1147_g","field_1147_g","g","[F","[F","TextureLavaFX","cg","net/minecraft/src","0"
"field_1146_h","field_1146_h","h","[F","[F","TextureLavaFX","cg","net/minecraft/src","0"
"field_1145_i","field_1145_i","i","[F","[F","TextureLavaFX","cg","net/minecraft/src","0"
"field_1144_j","field_1144_j","j","[F","[F","TextureLavaFX","cg","net/minecraft/src","0"
"distanceToNext","distanceToNext","f","F","F","PathPoint","d","net/minecraft/src","0"
"distanceToTarget","distanceToTarget","g","F","F","PathPoint","d","net/minecraft/src","0"
"hash","hash","j","I","I","PathPoint","d","net/minecraft/src","0"
"isFirst","isFirst","i","Z","Z","PathPoint","d","net/minecraft/src","0"
"totalPathDistance","totalPathDistance","e","F","F","PathPoint","d","net/minecraft/src","0"
"zCoord","zCoord","c","I","I","PathPoint","d","net/minecraft/src","0"
"index","index","d","I","I","PathPoint","d","net/minecraft/src","0"
"xCoord","xCoord","a","I","I","PathPoint","d","net/minecraft/src","0"
"yCoord","yCoord","b","I","I","PathPoint","d","net/minecraft/src","0"
"previous","previous","h","LPathPoint;","Ld;","PathPoint","d","net/minecraft/src","0"
"random","random","a","Ljava/util/Random;","Ljava/util/Random;","BlockChest","e","net/minecraft/src","0"
"field_27275_a","field_27275_a","a","LGuiStats;","Ldv;","GuiSlotStatsItem","ci","net/minecraft/src","0"
"field_27244_a","field_27244_a","a","Ljava/lang/String;","Ljava/lang/String;","J_JsonStringNodeBuilder","f","net/minecraft/src","0"
"field_27431_h","field_27431_h","h","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27433_f","field_27433_f","f","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27429_j","field_27429_j","j","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27427_l","field_27427_l","l","I","I","StatsSyncher","cj","net/minecraft/src","0"
"field_27428_k","field_27428_k","k","LSession;","Lgr;","StatsSyncher","cj","net/minecraft/src","0"
"field_27435_d","field_27435_d","d","LStatFileWriter;","Lxi;","StatsSyncher","cj","net/minecraft/src","0"
"field_27436_c","field_27436_c","c","Ljava/util/Map;","Ljava/util/Map;","StatsSyncher","cj","net/minecraft/src","0"
"field_27430_i","field_27430_i","i","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27432_g","field_27432_g","g","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27434_e","field_27434_e","e","Ljava/io/File;","Ljava/io/File;","StatsSyncher","cj","net/minecraft/src","0"
"field_27426_m","field_27426_m","m","I","I","StatsSyncher","cj","net/minecraft/src","0"
"field_27438_a","field_27438_a","a","Z","Z","StatsSyncher","cj","net/minecraft/src","0"
"field_27437_b","field_27437_b","b","Ljava/util/Map;","Ljava/util/Map;","StatsSyncher","cj","net/minecraft/src","0"
"field_31053_a","field_31053_a","a","I","I","BlockPistonExtension","h","net/minecraft/src","0"
"blockID","blockID","a","I","I","ItemBlock","ck","net/minecraft/src","0"
"secondDescriptionLine","secondDescriptionLine","c","Ljava/lang/String;","Ljava/lang/String;","TexturePackBase","i","net/minecraft/src","0"
"field_6488_d","field_6488_d","d","Ljava/lang/String;","Ljava/lang/String;","TexturePackBase","i","net/minecraft/src","0"
"texturePackFileName","texturePackFileName","a","Ljava/lang/String;","Ljava/lang/String;","TexturePackBase","i","net/minecraft/src","0"
"firstDescriptionLine","firstDescriptionLine","b","Ljava/lang/String;","Ljava/lang/String;","TexturePackBase","i","net/minecraft/src","0"
"field_22392_a","field_22392_a","a","Ljava/util/regex/Pattern;","Ljava/util/regex/Pattern;","ChunkFolderPattern","cm","net/minecraft/src","0"
"field_27061_b","field_27061_b","b","LJ_JsonNodeSelector;","Ljt;","J_ChainedFunctor","j","net/minecraft/src","0"
"field_27062_a","field_27062_a","a","LJ_JsonNodeSelector;","Ljt;","J_ChainedFunctor","j","net/minecraft/src","0"
"options","options","j","LGameSettings;","Lkv;","GuiOptions","co","net/minecraft/src","0"
"parentScreen","parentScreen","i","LGuiScreen;","Lda;","GuiOptions","co","net/minecraft/src","0"
"field_22135_k","field_22135_k","l","[LEnumOptions;","[Lht;","GuiOptions","co","net/minecraft/src","0"
"screenTitle","screenTitle","a","Ljava/lang/String;","Ljava/lang/String;","GuiOptions","co","net/minecraft/src","0"
"field_27008_a","field_27008_a","a","LModelBase;","Lko;","RenderCreeper","m","net/minecraft/src","0"
"eligibleChunksForSpawning","eligibleChunksForSpawning","b","Ljava/util/Set;","Ljava/util/Set;","SpawnerAnimals","cq","net/minecraft/src","0"
"nightSpawnEntities","nightSpawnEntities","a","[Ljava/lang/Class;","[Ljava/lang/Class;","SpawnerAnimals","cq","net/minecraft/src","0"
"glRenderListBase","glRenderListBase","s","I","I","RenderGlobal","n","net/minecraft/src","0"
"glRenderLists","glRenderLists","S","Ljava/util/List;","Ljava/util/List;","RenderGlobal","n","net/minecraft/src","0"
"worldRenderersCheckIndex","worldRenderersCheckIndex","R","I","I","RenderGlobal","n","net/minecraft/src","0"
"prevSortY","prevSortY","g","D","D","RenderGlobal","n","net/minecraft/src","0"
"renderersBeingClipped","renderersBeingClipped","N","I","I","RenderGlobal","n","net/minecraft/src","0"
