"name","notch","supername","package","side"
"NBTTagLong","aaa","","net/minecraft/src","0"
"ItemEgg","aac","","net/minecraft/src","0"
"Packet101CloseWindow","aab","","net/minecraft/src","0"
"ComponentStrongholdLibrary","aae","","net/minecraft/src","0"
"InventoryCrafting","aad","","net/minecraft/src","0"
"SaveOldDir","aag","","net/minecraft/src","0"
"EntityBlaze","aaf","","net/minecraft/src","0"
"J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","aai","","net/minecraft/src","0"
"J_ObjectNodeContainer","aah","","net/minecraft/src","0"
"NetClientHandler","aak","","net/minecraft/src","0"
"J_ArrayNodeContainer","aaj","","net/minecraft/src","0"
"StringTranslate","aam","","net/minecraft/src","0"
"J_FieldNodeContainer","aal","","net/minecraft/src","0"
"ComponentNetherBridgeStairs","aao","","net/minecraft/src","0"
"Packet42RemoveEntityEffect","aan","","net/minecraft/src","0"
"ModelMinecart","aaq","","net/minecraft/src","0"
"ModelSlime","aap","","net/minecraft/src","0"
"Packet39AttachEntity","aas","","net/minecraft/src","0"
"MusInputStream","aar","","net/minecraft/src","0"
"ComponentNetherBridgeCorridor5","aau","","net/minecraft/src","0"
"EntityEnderPearl","aat","","net/minecraft/src","0"
"Tessellator","aaw","","net/minecraft/src","0"
"NBTTagCompound","aav","","net/minecraft/src","0"
"Achievement","aay","","net/minecraft/src","0"
"BlockStationary","aax","","net/minecraft/src","0"
"Packet1Login","aaz","","net/minecraft/src","0"
"BlockSoulSand","abb","","net/minecraft/src","0"
"ComponentStrongholdStairsStraight","aba","","net/minecraft/src","0"
"Packet7UseEntity","a","","net/minecraft/src","0"
"WorldGenSpikes","abd","","net/minecraft/src","0"
"AchievementMap","b","","net/minecraft/src","0"
"EntityLightningBolt","c","","net/minecraft/src","0"
"J_JsonNumberNodeBuilder","abc","","net/minecraft/src","0"
"BlockStem","abf","","net/minecraft/src","0"
"PathPoint","d","","net/minecraft/src","0"
"RecipesFood","abe","","net/minecraft/src","0"
"J_JsonStringNodeBuilder","e","","net/minecraft/src","0"
"ComponentVillageStartPiece","f","","net/minecraft/src","0"
"TextureWaterFlowFX","abh","","net/minecraft/src","0"
"J_JsonArray","abg","","net/minecraft/src","0"
"TexturePackBase","g","","net/minecraft/src","0"
"GuiCrafting","abj","","net/minecraft/src","0"
"WorldGenForest","h","","net/minecraft/src","0"
"BlockVine","abi","","net/minecraft/src","0"
"ComponentVillageField","i","","net/minecraft/src","0"
"EntityPortalFX","abl","","net/minecraft/src","0"
"RenderGlobal","j","","net/minecraft/src","0"
"RenderTNTPrimed","abk","","net/minecraft/src","0"
"NBTTagFloat","k","","net/minecraft/src","0"
"MinecraftAppletImpl","l","","net/minecraft/src","0"
"PlayerControllerSP","abn","","net/minecraft/src","0"
"CanvasMinecraftApplet","m","","net/minecraft/src","0"
"BlockCactus","abm","","net/minecraft/src","0"
"ComponentVillageHall","n","","net/minecraft/src","0"
"ComponentVillageChurch","abp","","net/minecraft/src","0"
"EntitySnowman","o","","net/minecraft/src","0"
"BlockDirt","abo","","net/minecraft/src","0"
"ClippingHelperImpl","p","","net/minecraft/src","0"
"ComponentVillageTorch","abr","","net/minecraft/src","0"
"ThreadedChunkLoader","abq","","net/minecraft/src","0"
"ComponentStrongholdStairs2","q","","net/minecraft/src","0"
"IEnchantmentModifier","r","","net/minecraft/src","0"
"ComponentStrongholdPrison","abt","","net/minecraft/src","0"
"J_JsonNodeList","s","","net/minecraft/src","0"
"MaterialPortal","abs","","net/minecraft/src","0"
"ContainerPlayer","t","","net/minecraft/src","0"
"BlockRail","abv","","net/minecraft/src","0"
"LayerIsland","abu","","net/minecraft/src","0"
"GuiSmallButton","u","","net/minecraft/src","0"
"Empty3","abx","","net/minecraft/src","0"
"BlockSnowBlock","v","","net/minecraft/src","0"
"J_JsonNodeDoesNotMatchJsonNodeSelectorException","w","","net/minecraft/src","0"
"EnumOS2","abw","","net/minecraft/src","0"
"EntityNoteFX","x","","net/minecraft/src","0"
"Packet3Chat","abz","","net/minecraft/src","0"
"IntCache","y","","net/minecraft/src","0"
"EntityEnchantmentTableParticleFX","aby","","net/minecraft/src","0"
"BlockTNT","z","","net/minecraft/src","0"
"BlockDetectorRail","aca","","net/minecraft/src","0"
"RenderLightningBolt","acc","","net/minecraft/src","0"
"PlayerControllerTest","acb","","net/minecraft/src","0"
"ComponentVillageWell","ace","","net/minecraft/src","0"
"MapGenCavesHell","acd","","net/minecraft/src","0"
"IWorldAccess","acg","","net/minecraft/src","0"
"RenderFish","acf","","net/minecraft/src","0"
"RenderSnowMan","aci","","net/minecraft/src","0"
"J_JsonFieldBuilder","ach","","net/minecraft/src","0"
"SorterStatsBlock","ack","","net/minecraft/src","0"
"NBTTagInt","acj","","net/minecraft/src","0"
"SlotArmor","acm","","net/minecraft/src","0"
"BlockNote","acl","","net/minecraft/src","0"
"Timer","aco","","net/minecraft/src","0"
"J_NodeContainer","acn","","net/minecraft/src","0"
"GenLayerTemperature","acq","","net/minecraft/src","0"
"KeyBinding","acp","","net/minecraft/src","0"
"GuiConflictWarning","acs","","net/minecraft/src","0"
"J_JsonObjectNodeSelector","acr","","net/minecraft/src","0"
"J_JsonFieldNodeSelector","acu","","net/minecraft/src","0"
"J_JsonElementNodeSelector","act","","net/minecraft/src","0"
"Packet27Position","acw","","net/minecraft/src","0"
"ComponentNetherBridgeStartPiece","acv","","net/minecraft/src","0"
"ItemPiston","acy","","net/minecraft/src","0"
"ChunkProviderHell","acx","","net/minecraft/src","0"
"ScaledResolution","acz","","net/minecraft/src","0"
"Packet102WindowClick","adb","","net/minecraft/src","0"
"BlockSilverfish","ada","","net/minecraft/src","0"
"EntityTNTPrimed","add","","net/minecraft/src","0"
"Explosion","adc","","net/minecraft/src","0"
"BiomeGenForest","adf","","net/minecraft/src","0"
"BlockStoneBrick","ade","","net/minecraft/src","0"
"SignModel","adh","","net/minecraft/src","0"
"Packet6SpawnPosition","adg","","net/minecraft/src","0"
"RegionFileCache","adj","","net/minecraft/src","0"
"BlockReed","adi","","net/minecraft/src","0"
"Packet60Explosion","adl","","net/minecraft/src","0"
"ItemMinecart","adk","","net/minecraft/src","0"
"GuiTextField","adn","","net/minecraft/src","0"
"MapGenStructure","adm","","net/minecraft/src","0"
"ChunkFilePattern","adp","","net/minecraft/src","0"
"BlockFluid","ado","","net/minecraft/src","0"
"Packet29DestroyEntity","adr","","net/minecraft/src","0"
"EnumMobType","adq","","net/minecraft/src","0"
"BlockClay","adt","","net/minecraft/src","0"
"BlockContainer","ads","","net/minecraft/src","0"
"Packet50PreChunk","adv","","net/minecraft/src","0"
"ModelChest","adu","","net/minecraft/src","0"
"ContainerDispenser","adx","","net/minecraft/src","0"
"MaterialLiquid","adw","","net/minecraft/src","0"
"StructureStrongholdPieceWeight","adz","","net/minecraft/src","0"
"TileEntityFurnace","ady","","net/minecraft/src","0"
"BlockRedstoneWire","aea","","net/minecraft/src","0"
"MapGenCaves","aec","","net/minecraft/src","0"
"StructureNetherBridgePieceWeight","aeb","","net/minecraft/src","0"
"RenderMinecart","aee","","net/minecraft/src","0"
"NBTTagDouble","aed","","net/minecraft/src","0"
"BlockFurnace","aeg","","net/minecraft/src","0"
"BiomeGenDesert","aef","","net/minecraft/src","0"
"BiomeGenHills","aei","","net/minecraft/src","0"
"ModelChicken","aeh","","net/minecraft/src","0"
"BiomeGenSwamp","aek","","net/minecraft/src","0"
"J_JsonNodeBuilders","aej","","net/minecraft/src","0"
"EntityClientPlayerMP","aem","","net/minecraft/src","0"
"RenderManager","ael","","net/minecraft/src","0"
"BlockMushroom","aeo","","net/minecraft/src","0"
"ThreadDownloadImage","aen","","net/minecraft/src","0"
"RecipesIngots","aeq","","net/minecraft/src","0"
"GenLayerVillageLandscape","aep","","net/minecraft/src","0"
"EntityMagmaCube","aes","","net/minecraft/src","0"
"SaveFormatOld","aer","","net/minecraft/src","0"
"ComponentVillagePathGen","aeu","","net/minecraft/src","0"
"ItemRecord","aet","","net/minecraft/src","0"
