"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"longValue","longValue","a","J","J","net/minecraft/src/NBTTagLong","aaa","net/minecraft/src","0"
"windowId","windowId","a","I","I","net/minecraft/src/Packet101CloseWindow","aab","net/minecraft/src","0"
"field_35058_a","field_35058_a","a","Lnet/minecraft/src/EnumDoor;","Llb;","net/minecraft/src/ComponentStrongholdLibrary","aae","net/minecraft/src","0"
"field_35056_b","field_35056_b","b","[Lnet/minecraft/src/StructurePieceTreasure;","[Lff;","net/minecraft/src/ComponentStrongholdLibrary","aae","net/minecraft/src","0"
"field_35057_c","field_35057_c","c","Z","Z","net/minecraft/src/ComponentStrongholdLibrary","aae","net/minecraft/src","0"
"eventHandler","eventHandler","c","Lnet/minecraft/src/Container;","Lcr;","net/minecraft/src/InventoryCrafting","aad","net/minecraft/src","0"
"stackList","stackList","a","[Lnet/minecraft/src/ItemStack;","[Lxs;","net/minecraft/src/InventoryCrafting","aad","net/minecraft/src","0"
"inventoryWidth","inventoryWidth","b","I","I","net/minecraft/src/InventoryCrafting","aad","net/minecraft/src","0"
"field_40153_b","field_40153_b","b","I","I","net/minecraft/src/EntityBlaze","aaf","net/minecraft/src","0"
"field_40152_d","field_40152_d","d","I","I","net/minecraft/src/EntityBlaze","aaf","net/minecraft/src","0"
"field_40154_a","field_40154_a","a","F","F","net/minecraft/src/EntityBlaze","aaf","net/minecraft/src","0"
"field_27326_a","field_27326_a","a","Lnet/minecraft/src/J_Functor;","Lqn;","net/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","aai","net/minecraft/src","0"
"field_27325_b","field_27325_b","b","Ljava/util/List;","Ljava/util/List;","net/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","aai","net/minecraft/src","0"
"field_27295_b","field_27295_b","b","Lnet/minecraft/src/J_JsonListenerToJdomAdapter;","Lzt;","net/minecraft/src/J_ObjectNodeContainer","aah","net/minecraft/src","0"
"nodeBuilder","nodeBuilder","a","Lnet/minecraft/src/J_JsonObjectNodeBuilder;","Lml;","net/minecraft/src/J_ObjectNodeContainer","aah","net/minecraft/src","0"
"rand","rand","e","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"field_35787_k","field_35787_k","k","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"field_35785_d","field_35785_d","d","I","I","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"mapStorage","mapStorage","b","Lnet/minecraft/src/MapStorage;","Lwh;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"mc","mc","h","Lnet/minecraft/client/Minecraft;","Lnet/minecraft/client/Minecraft;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"field_35786_c","field_35786_c","c","Ljava/util/List;","Ljava/util/List;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"field_1209_a","field_1209_a","a","Ljava/lang/String;","Ljava/lang/String;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"netManager","netManager","g","Lnet/minecraft/src/NetworkManager;","Lkc;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
