"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"func_35055_a","func_35055_a","a","(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/src/ComponentStrongholdLibrary;","(Ljava/util/List;Ljava/util/Random;IIIII)Laae;","net/minecraft/src/ComponentStrongholdLibrary","aae","net/minecraft/src","0"
"getStackInRowAndColumn","getStackInRowAndColumn","b","(II)Lnet/minecraft/src/ItemStack;","(II)Lxs;","net/minecraft/src/InventoryCrafting","aad","net/minecraft/src","0"
"func_40150_a","func_40150_a","a","(Z)V","(Z)V","net/minecraft/src/EntityBlaze","aaf","net/minecraft/src","0"
"func_40151_ac","func_40151_ac","ac","()Z","()Z","net/minecraft/src/EntityBlaze","aaf","net/minecraft/src","0"
"func_27321_b","func_27321_b","b","(Lnet/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException;Lnet/minecraft/src/J_JsonNodeSelector;)Lnet/minecraft/src/J_JsonNodeDoesNotMatchJsonNodeSelectorException;","(Laai;Lyi;)Lw;","net/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","aai","net/minecraft/src","0"
"func_27323_a","func_27323_a","a","(Lnet/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException;Lnet/minecraft/src/J_JsonNodeSelector;)Lnet/minecraft/src/J_JsonNodeDoesNotMatchJsonNodeSelectorException;","(Laai;Lyi;)Lw;","net/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","aai","net/minecraft/src","0"
"func_27324_a","func_27324_a","a","(Ljava/util/List;)Ljava/lang/String;","(Ljava/util/List;)Ljava/lang/String;","net/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","aai","net/minecraft/src","0"
"func_27322_a","func_27322_a","a","(Lnet/minecraft/src/J_Functor;)Lnet/minecraft/src/J_JsonNodeDoesNotMatchJsonNodeSelectorException;","(Lqn;)Lw;","net/minecraft/src/J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","aai","net/minecraft/src","0"
"addToSendQueue","addToSendQueue","c","(Lnet/minecraft/src/Packet;)V","(Lyv;)V","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"func_28117_a","func_28117_a","b","(Lnet/minecraft/src/Packet;)V","(Lyv;)V","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"getEntityByID","getEntityByID","a","(I)Lnet/minecraft/src/Entity;","(I)Lmd;","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"disconnect","disconnect","c","()V","()V","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"processReadPackets","processReadPackets","b","()V","()V","net/minecraft/src/NetClientHandler","aak","net/minecraft/src","0"
"getInstance","getInstance","a","()Lnet/minecraft/src/StringTranslate;","()Laam;","net/minecraft/src/StringTranslate","aam","net/minecraft/src","0"
"translateKeyFormat","translateKeyFormat","a","(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;","(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;","net/minecraft/src/StringTranslate","aam","net/minecraft/src","0"
"translateNamedKey","translateNamedKey","b","(Ljava/lang/String;)Ljava/lang/String;","(Ljava/lang/String;)Ljava/lang/String;","net/minecraft/src/StringTranslate","aam","net/minecraft/src","0"
"translateKey","translateKey","a","(Ljava/lang/String;)Ljava/lang/String;","(Ljava/lang/String;)Ljava/lang/String;","net/minecraft/src/StringTranslate","aam","net/minecraft/src","0"
"func_40031_a","func_40031_a","a","(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/src/ComponentNetherBridgeStairs;","(Ljava/util/List;Ljava/util/Random;IIIII)Laao;","net/minecraft/src/ComponentNetherBridgeStairs","aao","net/minecraft/src","0"
"read","read","read","([BII)I","([BII)I","net/minecraft/src/MusInputStream","aar","net/minecraft/src","0"
