"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"getLiquidType","getLiquidType","d","()I","()I","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"setTicking","setTicking","a","(Z)V","(Z)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"renderFaceNoTexture","renderFaceNoTexture","a","(Lcom/mojang/minecraft/Player;Lcom/mojang/minecraft/renderer/Tesselator;IIII)V","(Lcom/mojang/minecraft/e;Lcom/mojang/minecraft/b/b;IIII)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"mayTick","mayTick","c","()Z","()Z","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"shouldRenderFace","shouldRenderFace","a","(Lcom/mojang/minecraft/level/Level;IIIII)Z","(Lcom/mojang/minecraft/a/f;IIIII)Z","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"setShape","setShape","a","(FFFFFF)V","(FFFFFF)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"blocksLight","blocksLight","a","()Z","()Z","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"tick","tick","a","(Lcom/mojang/minecraft/level/Level;IIILjava/util/Random;)V","(Lcom/mojang/minecraft/a/f;IIILjava/util/Random;)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"getAABB","getAABB","b","(III)Lcom/mojang/minecraft/phys/AABB;","(III)Lcom/mojang/minecraft/f/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"destroy","destroy","a","(Lcom/mojang/minecraft/level/Level;IIILcom/mojang/minecraft/particle/ParticleEngine;)V","(Lcom/mojang/minecraft/a/f;IIILcom/mojang/minecraft/d/a;)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"renderFace","renderFace","a","(Lcom/mojang/minecraft/renderer/Tesselator;IIII)V","(Lcom/mojang/minecraft/b/b;IIII)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"getTexture","getTexture","a","(I)I","(I)I","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"isSolid","isSolid","b","()Z","()Z","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"render","render","a","(Lcom/mojang/minecraft/renderer/Tesselator;Lcom/mojang/minecraft/level/Level;IIII)Z","(Lcom/mojang/minecraft/b/b;Lcom/mojang/minecraft/a/f;IIII)Z","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"neighborChanged","neighborChanged","a","(Lcom/mojang/minecraft/level/Level;IIII)V","(Lcom/mojang/minecraft/a/f;IIII)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"getTileAABB","getTileAABB","a","(III)Lcom/mojang/minecraft/phys/AABB;","(III)Lcom/mojang/minecraft/f/a;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"renderBackFace","renderBackFace","b","(Lcom/mojang/minecraft/renderer/Tesselator;IIII)V","(Lcom/mojang/minecraft/b/b;IIII)V","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/a","com/mojang/minecraft/level/tile","0"
"addLava","addLava","a","()V","()V","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"generateLevel","generateLevel","a","(Lcom/mojang/minecraft/level/Level;Ljava/lang/String;III)Z","(Lcom/mojang/minecraft/a/f;Ljava/lang/String;III)Z","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"setNextPhase","setNextPhase","a","(I)V","(I)V","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"floodFillLiquid","floodFillLiquid","a","(IIIII)J","(IIIII)J","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"getValue","getValue","a","(DD)D","(DD)D","com/mojang/minecraft/level/levelgen/synth/Synth","com/mojang/minecraft/a/b/a/c","com/mojang/minecraft/level/levelgen/synth","0"
"loadTexture","loadTexture","a","(Ljava/lang/String;I)I","(Ljava/lang/String;I)I","com/mojang/minecraft/renderer/Textures","com/mojang/minecraft/b/a","com/mojang/minecraft/renderer","0"
"stopGameThread","stopGameThread","a","()V","()V","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"save","save","a","(Lcom/mojang/minecraft/level/Level;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;I)Z","(Lcom/mojang/minecraft/a/f;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;I)Z","com/mojang/minecraft/level/LevelIO","com/mojang/minecraft/a/a","com/mojang/minecraft/level","0"
