"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"playerModel","playerModel","a","Lcom/mojang/minecraft/character/ZombieModel;","Lcom/mojang/minecraft/character/a;","com/mojang/minecraft/net/NetworkPlayer","com/mojang/minecraft/net/NetworkPlayer","com/mojang/minecraft/net","0"
"coords","coords","g","[I","[I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"width","width","b","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"depth","depth","d","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"height","height","c","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"blocks","blocks","f","[B","[B","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"random","random","e","Ljava/util/Random;","Ljava/util/Random;","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"size","size","k","I","I","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"counter","counter","n","I","I","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"packetType","packetType","l","B","B","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"packetTypes","packetTypes","m","[Ljava/lang/Class;","[Ljava/lang/Class;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_JOIN","PLAYER_JOIN","h","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"SET_TILE","SET_TILE","g","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_DISCONNECT","PLAYER_DISCONNECT","j","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_MOVE","PLAYER_MOVE","i","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"packets","packets","a","[Lcom/mojang/minecraft/net/Packet;","[Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LOGIN","LOGIN","b","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LOADING_PROGRESS","LOADING_PROGRESS","d","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LOAD_LEVEL","LOAD_LEVEL","c","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLACE_OR_REMOVE_BLOCK","PLACE_OR_REMOVE_BLOCK","f","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LEVEL_BLOCKS","LEVEL_BLOCKS","e","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"title","title","f","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"name","name","h","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"counter","counter","i","I","I","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"parent","parent","e","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/b/c;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"id","id","g","I","I","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"socketOutputStream","socketOutputStream","a","Ljava/io/ByteArrayOutputStream;","Ljava/io/ByteArrayOutputStream;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"players","players","d","Ljava/util/HashMap;","Ljava/util/HashMap;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"minecraft","minecraft","c","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"netHandler","netHandler","b","Lcom/mojang/network/NetHandler;","Lcom/mojang/a/a;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"buttons","buttons","d","Ljava/util/List;","Ljava/util/List;","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/c","com/mojang/minecraft/gui","0"
"height","height","c","I","I","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/c","com/mojang/minecraft/gui","0"
"width","width","b","I","I","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/c","com/mojang/minecraft/gui","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/c","com/mojang/minecraft/gui","0"
"parent","parent","e","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/b/c;","com/mojang/minecraft/gui/NewLevelScreen","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"h","h","d","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"w","w","c","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"enabled","enabled","g","Z","Z","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"id","id","f","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"y","y","b","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"x","x","a","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"msg","msg","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"visible","visible","h","Z","Z","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"finished","finished","g","Z","Z","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/f","com/mojang/minecraft/gui","0"
"parent","parent","f","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/b/c;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/f","com/mojang/minecraft/gui","0"
"status","status","j","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/f","com/mojang/minecraft/gui","0"
"loaded","loaded","h","Z","Z","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/f","com/mojang/minecraft/gui","0"
"levels","levels","i","[Ljava/lang/String;","[Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/f","com/mojang/minecraft/gui","0"
"title","title","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/f","com/mojang/minecraft/gui","0"
"fontTexture","fontTexture","b","I","I","com/mojang/minecraft/gui/Font","com/mojang/minecraft/b/h","com/mojang/minecraft/gui","0"
"charWidths","charWidths","a","[I","[I","com/mojang/minecraft/gui/Font","com/mojang/minecraft/b/h","com/mojang/minecraft/gui","0"
"xSpawn","xSpawn","xSpawn","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"randValue","randValue","d","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"blocks","blocks","blocks","[B","[B","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"heightMap","heightMap","b","[I","[I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"entities","entities","entities","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"levelListeners","levelListeners","a","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"serialVersionUID","serialVersionUID","serialVersionUID","J","J","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"unprocessed","unprocessed","unprocessed","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"zSpawn","zSpawn","zSpawn","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"tickList","tickList","e","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"createTime","createTime","createTime","J","J","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"random","random","c","Ljava/util/Random;","Ljava/util/Random;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"rotSpawn","rotSpawn","rotSpawn","F","F","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"width","width","width","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"ySpawn","ySpawn","ySpawn","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"depth","depth","depth","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"tickCount","tickCount","tickCount","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"height","height","height","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"creator","creator","creator","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"name","name","name","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"socket","socket","f","Ljava/net/Socket;","Ljava/net/Socket;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"stringPacket","stringPacket","g","[B","[B","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"initialized","initialized","h","Z","Z","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"clientHandler","clientHandler","e","Lcom/mojang/minecraft/net/NetClientHandler;","Lcom/mojang/minecraft/net/b;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"processedData","processedData","c","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"packetBuffer","packetBuffer","d","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"socketChannel","socketChannel","b","Ljava/nio/channels/SocketChannel;","Ljava/nio/channels/SocketChannel;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"connected","connected","a","Z","Z","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"moveForward","moveForward","b","F","F","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"jump","jump","c","Z","Z","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"jumpHeld","jumpHeld","d","Z","Z","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"moveStrafe","moveStrafe","a","F","F","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"keys","keys","e","[Z","[Z","com/mojang/minecraft/player/MovementInputFromOptions","com/mojang/minecraft/player/b","com/mojang/minecraft/player","0"
"p","p","a","[I","[I","com/mojang/minecraft/level/levelgen/synth/ImprovedNoise","com/mojang/minecraft/level/b/a/d","com/mojang/minecraft/level/levelgen/synth","0"
"serialVersionUID","serialVersionUID","serialVersionUID","J","J","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"epsilon","epsilon","epsilon","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"z1","z1","z1","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"y0","y0","y0","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"z0","z0","z0","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"x1","x1","x1","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"y1","y1","y1","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"x0","x0","x0","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"source","source","a","Lcom/mojang/minecraft/level/levelgen/synth/Synth;","Lcom/mojang/minecraft/level/b/a/c;","com/mojang/minecraft/level/levelgen/synth/Distort","com/mojang/minecraft/level/b/a/b","com/mojang/minecraft/level/levelgen/synth","0"
"distort","distort","b","Lcom/mojang/minecraft/level/levelgen/synth/Synth;","Lcom/mojang/minecraft/level/b/a/c;","com/mojang/minecraft/level/levelgen/synth/Distort","com/mojang/minecraft/level/b/a/b","com/mojang/minecraft/level/levelgen/synth","0"
"levels","levels","b","I","I","com/mojang/minecraft/level/levelgen/synth/PerlinNoise","com/mojang/minecraft/level/b/a/a","com/mojang/minecraft/level/levelgen/synth","0"
"noiseLevels","noiseLevels","a","[Lcom/mojang/minecraft/level/levelgen/synth/ImprovedNoise;","[Lcom/mojang/minecraft/level/b/a/d;","com/mojang/minecraft/level/levelgen/synth/PerlinNoise","com/mojang/minecraft/level/b/a/a","com/mojang/minecraft/level/levelgen/synth","0"
