"name","notch","supername","package","side"
"NetworkPlayer","com/mojang/minecraft/net/NetworkPlayer","","com/mojang/minecraft/net","0"
"NetClientHandler","com/mojang/minecraft/net/c","","com/mojang/minecraft/net","0"
"LevelGen","com/mojang/minecraft/level/b/a","","com/mojang/minecraft/level/levelgen","0"
"Packet","com/mojang/minecraft/net/a","","com/mojang/minecraft/net","0"
"NameLevelScreen","com/mojang/minecraft/b/a","","com/mojang/minecraft/gui","0"
"PlayerMove","com/mojang/minecraft/net/b","","com/mojang/minecraft/net","0"
"PauseScreen","com/mojang/minecraft/b/c","","com/mojang/minecraft/gui","0"
"ChatScreen","com/mojang/minecraft/b/b","","com/mojang/minecraft/gui","0"
"Button","com/mojang/minecraft/b/e","","com/mojang/minecraft/gui","0"
"Screen","com/mojang/minecraft/b/d","","com/mojang/minecraft/gui","0"
"LoadLevelScreen","com/mojang/minecraft/b/g","","com/mojang/minecraft/gui","0"
"NewLevelScreen","com/mojang/minecraft/b/f","","com/mojang/minecraft/gui","0"
"SaveLevelScreen","com/mojang/minecraft/b/i","","com/mojang/minecraft/gui","0"
"ErrorScreen","com/mojang/minecraft/b/h","","com/mojang/minecraft/gui","0"
"Font","com/mojang/minecraft/b/j","","com/mojang/minecraft/gui","0"
"Particle","com/mojang/minecraft/particle/Particle","","com/mojang/minecraft/particle","0"
"Level","com/mojang/minecraft/level/Level","","com/mojang/minecraft/level","0"
"NetHandler","com/mojang/a/a","","com/mojang/network","0"
"MovementInput","com/mojang/minecraft/player/a","","com/mojang/minecraft/player","0"
"MovementInputFromOptions","com/mojang/minecraft/player/b","","com/mojang/minecraft/player","0"
"ImprovedNoise","com/mojang/minecraft/level/b/a/d","","com/mojang/minecraft/level/levelgen/synth","0"
"Synth","com/mojang/minecraft/level/b/a/c","","com/mojang/minecraft/level/levelgen/synth","0"
"AABB","com/mojang/minecraft/phys/AABB","","com/mojang/minecraft/phys","0"
"Distort","com/mojang/minecraft/level/b/a/b","","com/mojang/minecraft/level/levelgen/synth","0"
"PerlinNoise","com/mojang/minecraft/level/b/a/a","","com/mojang/minecraft/level/levelgen/synth","0"
"LeafTile","com/mojang/minecraft/level/a/b","","com/mojang/minecraft/level/tile","0"
"Coord","com/mojang/minecraft/level/b","","com/mojang/minecraft/level","0"
"DirtTile","com/mojang/minecraft/level/a/c","","com/mojang/minecraft/level/tile","0"
"Material","com/mojang/minecraft/level/c/a","","com/mojang/minecraft/level/material","0"
"DirtyChunkSorter","com/mojang/minecraft/a/b","","com/mojang/minecraft/renderer","0"
"MinecraftApplet","com/mojang/minecraft/MinecraftApplet","","com/mojang/minecraft","0"
"FallingTile","com/mojang/minecraft/level/a/d","","com/mojang/minecraft/level/tile","0"
"Textures","com/mojang/minecraft/a/a","","com/mojang/minecraft/renderer","0"
"CalmLiquidTile","com/mojang/minecraft/level/a/e","","com/mojang/minecraft/level/tile","0"
"LevelIO","com/mojang/minecraft/level/a","","com/mojang/minecraft/level","0"
"Frustum","com/mojang/minecraft/a/d","","com/mojang/minecraft/renderer","0"
"LogTile","com/mojang/minecraft/level/a/f","","com/mojang/minecraft/level/tile","0"
"Tesselator","com/mojang/minecraft/a/c","","com/mojang/minecraft/renderer","0"
"GrassTile","com/mojang/minecraft/level/a/g","","com/mojang/minecraft/level/tile","0"
"Chunk","com/mojang/minecraft/a/f","","com/mojang/minecraft/renderer","0"
"Player","com/mojang/minecraft/player/Player","","com/mojang/minecraft/player","0"
"Bush","com/mojang/minecraft/level/a/h","","com/mojang/minecraft/level/tile","0"
"DistanceSorter","com/mojang/minecraft/a/e","","com/mojang/minecraft/renderer","0"
"LiquidTile","com/mojang/minecraft/level/a/i","","com/mojang/minecraft/level/tile","0"
"Entity","com/mojang/minecraft/Entity","","com/mojang/minecraft","0"
"LevelRenderer","com/mojang/minecraft/a/g","","com/mojang/minecraft/renderer","0"
"Vertex","com/mojang/minecraft/character/e","","com/mojang/minecraft/character","0"
"Cube","com/mojang/minecraft/character/d","","com/mojang/minecraft/character","0"
"ParticleEngine","com/mojang/minecraft/particle/a","","com/mojang/minecraft/particle","0"
"HitResult","com/mojang/minecraft/e","","com/mojang/minecraft","0"
"Vec3","com/mojang/minecraft/character/c","","com/mojang/minecraft/character","0"
"Minecraft","com/mojang/minecraft/d","","com/mojang/minecraft","0"
"Polygon","com/mojang/minecraft/character/b","","com/mojang/minecraft/character","0"
"Timer","com/mojang/minecraft/c","","com/mojang/minecraft","0"
"ZombieModel","com/mojang/minecraft/character/a","","com/mojang/minecraft/character","0"
"ChatLine","com/mojang/minecraft/b","","com/mojang/minecraft","0"
"User","com/mojang/minecraft/a","","com/mojang/minecraft","0"
"Tile","com/mojang/minecraft/level/a/a","","com/mojang/minecraft/level/tile","0"
"Zombie","com/mojang/minecraft/character/Zombie","","com/mojang/minecraft/character","0"
"Level","com/mojang/minecraft/level/Level","","com/mojang/minecraft/level","1"
"HandlerList","com/mojang/a/a","","com/mojang/network","1"
"MinecraftServer","com/mojang/minecraft/server/MinecraftServer","","com/mojang/minecraft/server","1"
"NetHandler","com/mojang/a/b","","com/mojang/network","1"
"ImprovedNoise","com/mojang/minecraft/level/b/a/d","","com/mojang/minecraft/level/levelgen/synth","1"
"Synth","com/mojang/minecraft/level/b/a/c","","com/mojang/minecraft/level/levelgen/synth","1"
"AABB","com/mojang/minecraft/phys/AABB","","com/mojang/minecraft/phys","1"
"PerlinNoise","com/mojang/minecraft/level/b/a/b","","com/mojang/minecraft/level/levelgen/synth","1"
"Distort","com/mojang/minecraft/level/b/a/a","","com/mojang/minecraft/level/levelgen/synth","1"
"Tile","com/mojang/minecraft/level/a/b","","com/mojang/minecraft/level/tile","1"
"LevelGen","com/mojang/minecraft/level/b/a","","com/mojang/minecraft/level/levelgen","1"
"Coord","com/mojang/minecraft/level/b","","com/mojang/minecraft/level","1"
