"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"playerModel","playerModel","a","Lcom/mojang/minecraft/character/ZombieModel;","Lcom/mojang/minecraft/character/a;","com/mojang/minecraft/net/NetworkPlayer","com/mojang/minecraft/net/NetworkPlayer","com/mojang/minecraft/net","0"
"players","players","d","Ljava/util/HashMap;","Ljava/util/HashMap;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/c","com/mojang/minecraft/net","0"
"netHandler","netHandler","b","Lcom/mojang/network/NetHandler;","Lcom/mojang/a/a;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/c","com/mojang/minecraft/net","0"
"socketOutputStream","socketOutputStream","a","Ljava/io/ByteArrayOutputStream;","Ljava/io/ByteArrayOutputStream;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/c","com/mojang/minecraft/net","0"
"minecraft","minecraft","c","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/d;","com/mojang/minecraft/net/NetClientHandler","com/mojang/minecraft/net/c","com/mojang/minecraft/net","0"
"coords","coords","g","[I","[I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"width","width","b","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"depth","depth","d","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"height","height","c","I","I","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/d;","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"blocks","blocks","f","[B","[B","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
"random","random","e","Ljava/util/Random;","Ljava/util/Random;","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/level/b/a","com/mojang/minecraft/level/levelgen","0"
