"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"playerController","playerController","a","Lnet/minecraft/src/PlayerControllerSP;","Lba;","net/minecraft/src/SpawnerMonsters","aa","net/minecraft/src","0"
"recipeItems","recipeItems","b","[[Ljava/lang/Object;","[[Ljava/lang/Object;","net/minecraft/src/RecipesArmor","ab","net/minecraft/src","0"
"recipePatterns","recipePatterns","a","[[Ljava/lang/String;","[[Ljava/lang/String;","net/minecraft/src/RecipesArmor","ab","net/minecraft/src","0"
"tagMap","tagMap","a","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"floatBuffer","floatBuffer","f","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"vboCount","vboCount","A","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"vertexCount","vertexCount","h","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"useVBO","useVBO","x","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"vertexBuffers","vertexBuffers","y","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"rawBufferIndex","rawBufferIndex","o","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"convertQuadsToTriangles","convertQuadsToTriangles","b","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"xOffset","xOffset","s","D","D","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"zOffset","zOffset","u","D","D","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"hasColor","hasColor","l","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"hasNormals","hasNormals","n","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"instance","instance","a","Lnet/minecraft/src/Tessellator;","Lag;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"isColorDisabled","isColorDisabled","q","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"rawBuffer","rawBuffer","g","[I","[I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"bufferSize","bufferSize","B","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"isDrawing","isDrawing","w","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"color","color","k","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"intBuffer","intBuffer","e","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"textureU","textureU","i","D","D","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"addedVertices","addedVertices","p","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"textureV","textureV","j","D","D","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"drawMode","drawMode","r","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"tryVBO","tryVBO","c","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"byteBuffer","byteBuffer","d","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"normal","normal","v","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"vboIndex","vboIndex","z","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"yOffset","yOffset","t","D","D","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"hasTexture","hasTexture","m","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"entityHashMap","entityHashMap","b","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/src/TileEntityMobSpawnerRenderer","ai","net/minecraft/src","0"
"isInTestMode","isInTestMode","b","Z","Z","net/minecraft/src/PlayerController","aj","net/minecraft/src","0"
"mc","mc","a","Lnet/minecraft/src/Minecraft;","Lav;","net/minecraft/src/PlayerController","aj","net/minecraft/src","0"
"yCoord","yCoord","b","D","D","net/minecraft/src/NoiseGeneratorPerlin","an","net/minecraft/src","0"
"xCoord","xCoord","a","D","D","net/minecraft/src/NoiseGeneratorPerlin","an","net/minecraft/src","0"
"zCoord","zCoord","c","D","D","net/minecraft/src/NoiseGeneratorPerlin","an","net/minecraft/src","0"
"permutations","permutations","d","[I","[I","net/minecraft/src/NoiseGeneratorPerlin","an","net/minecraft/src","0"
"name","name","a","Ljava/lang/String;","Ljava/lang/String;","net/minecraft/src/InventoryLargeChest","aq","net/minecraft/src","0"
"lowerChest","lowerChest","c","Lnet/minecraft/src/IInventory;","Lkk;","net/minecraft/src/InventoryLargeChest","aq","net/minecraft/src","0"
"upperChest","upperChest","b","Lnet/minecraft/src/IInventory;","Lkk;","net/minecraft/src/InventoryLargeChest","aq","net/minecraft/src","0"
"tickCounter","tickCounter","j","I","I","net/minecraft/src/TextureWaterFlowFX","ar","net/minecraft/src","0"
"red","red","a","[F","[F","net/minecraft/src/TextureWaterFlowFX","ar","net/minecraft/src","0"
"blue","blue","c","[F","[F","net/minecraft/src/TextureWaterFlowFX","ar","net/minecraft/src","0"
"green","green","b","[F","[F","net/minecraft/src/TextureWaterFlowFX","ar","net/minecraft/src","0"
"alpha","alpha","d","[F","[F","net/minecraft/src/TextureWaterFlowFX","ar","net/minecraft/src","0"
"imageData","imageData","e","[B","[B","net/minecraft/src/TextureFX","at","net/minecraft/src","0"
"anaglyphEnabled","anaglyphEnabled","g","Z","Z","net/minecraft/src/TextureFX","at","net/minecraft/src","0"
"iconIndex","iconIndex","f","I","I","net/minecraft/src/TextureFX","at","net/minecraft/src","0"
"tileSize","tileSize","i","I","I","net/minecraft/src/TextureFX","at","net/minecraft/src","0"
"textureId","textureId","h","I","I","net/minecraft/src/TextureFX","at","net/minecraft/src","0"
"isomPreview","isomPreview","a","Lnet/minecraft/src/CanvasIsomPreview;","Lbd;","net/minecraft/isom/IsomPreviewApplet","net/minecraft/isom/IsomPreviewApplet","net/minecraft/isom","0"
"blocksEffectiveAgainst","blocksEffectiveAgainst","aF","[Lnet/minecraft/src/Block;","[Lgx;","net/minecraft/src/ItemPickaxe","au","net/minecraft/src","0"
"harvestLevel","harvestLevel","aG","I","I","net/minecraft/src/ItemPickaxe","au","net/minecraft/src","0"
"ticksRan","ticksRan","O","I","I","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"mouseHelper","mouseHelper","B","Lnet/minecraft/src/MouseHelper;","Lhy;","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"running","running","F","Z","Z","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"loadMapID","loadMapID","t","I","I","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"timer","timer","M","Lnet/minecraft/src/Timer;","Lcd;","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"isRaining","isRaining","J","Z","Z","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"mcCanvas","mcCanvas","k","Ljava/awt/Canvas;","Ljava/awt/Canvas;","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"ingameGUI","ingameGUI","u","Lnet/minecraft/src/GuiIngame;","Lgq;","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
"displayHeight","displayHeight","d","I","I","net/minecraft/src/Minecraft","av","net/minecraft/src","0"
