"name","notch","supername","package","side"
"EntityTNT","net/minecraft/a/c/c/a","","net/minecraft/game/entity/other","0"
"ItemFood","net/minecraft/a/b/o","","net/minecraft/game/item","0"
"EntityItem","net/minecraft/a/c/c/b","","net/minecraft/game/entity/other","0"
"RenderEntity","net/minecraft/client/a/a/a","","net/minecraft/client/renderer/entity","0"
"RenderCreeper","net/minecraft/client/a/a/c","","net/minecraft/client/renderer/entity","0"
"RenderArrow","net/minecraft/client/a/a/b","","net/minecraft/client/renderer/entity","0"
"RenderItem","net/minecraft/client/a/a/e","","net/minecraft/client/renderer/entity","0"
"RenderTNTPrimed","net/minecraft/client/a/a/d","","net/minecraft/client/renderer/entity","0"
"RenderPlayer","net/minecraft/client/a/a/g","","net/minecraft/client/renderer/entity","0"
"Render","net/minecraft/client/a/a/f","","net/minecraft/client/renderer/entity","0"
"RenderLiving","net/minecraft/client/a/a/i","","net/minecraft/client/renderer/entity","0"
"RenderManager","net/minecraft/client/a/a/h","","net/minecraft/client/renderer/entity","0"
"RenderGiantZombie","net/minecraft/client/a/a/k","","net/minecraft/client/renderer/entity","0"
"RenderSheep","net/minecraft/client/a/a/j","","net/minecraft/client/renderer/entity","0"
"RenderSpider","net/minecraft/client/a/a/l","","net/minecraft/client/renderer/entity","0"
"SoundPoolEntry","net/minecraft/client/e/a","","net/minecraft/client/sound","0"
"SoundManager","net/minecraft/client/e/c","","net/minecraft/client/sound","0"
"SoundPool","net/minecraft/client/e/b","","net/minecraft/client/sound","0"
"NoiseGeneratorCombined","net/minecraft/a/a/c/a/d","","net/minecraft/game/level/generator/noise","0"
"MathHelper","a/a","","util","0"
"NoiseGenerator","net/minecraft/a/a/c/a/b","","net/minecraft/game/level/generator/noise","0"
"BlockMap","net/minecraft/a/a/i","","net/minecraft/game/level","0"
"LightUpdates","net/minecraft/a/a/h","","net/minecraft/game/level","0"
"NoiseGeneratorOctaves","net/minecraft/a/a/c/a/c","","net/minecraft/game/level/generator/noise","0"
"IProgressUpdate","a/b","","util","0"
"MetadataChunkBlock","net/minecraft/a/a/c","","net/minecraft/game/level","0"
"Spawner","net/minecraft/a/a/b","","net/minecraft/game/level","0"
"LevelLoader","net/minecraft/a/a/a","","net/minecraft/game/level","0"
"World","net/minecraft/a/a/g","","net/minecraft/game/level","0"
"NoiseGeneratorPerlin","net/minecraft/a/a/c/a/a","","net/minecraft/game/level/generator/noise","0"
"BlockMapSlot","net/minecraft/a/a/f","","net/minecraft/game/level","0"
"NextTickListEntry","net/minecraft/a/a/e","","net/minecraft/game/level","0"
"IWorldAccess","net/minecraft/a/a/d","","net/minecraft/game/level","0"
"EntitySheep","net/minecraft/a/c/b/b","","net/minecraft/game/entity/animal","0"
"EntityAnimal","net/minecraft/a/c/b/a","","net/minecraft/game/entity/animal","0"
"EntityPig","net/minecraft/a/c/b/c","","net/minecraft/game/entity/animal","0"
"EntitySplashFX","net/minecraft/client/f/f","","net/minecraft/client/particle","0"
"EntityPickupFX","net/minecraft/client/f/e","","net/minecraft/client/particle","0"
"PathPoint","net/minecraft/a/a/a/a","","net/minecraft/game/entity","0"
"EntityExplodeFX","net/minecraft/client/f/h","","net/minecraft/client/particle","0"
"EntityLavaFX","net/minecraft/client/f/g","","net/minecraft/client/particle","0"
"Pathfinder","net/minecraft/a/a/a/c","","net/minecraft/game/entity","0"
"EntityDiggingFX","net/minecraft/client/f/b","","net/minecraft/client/particle","0"
"PathEntity","net/minecraft/a/a/a/b","","net/minecraft/game/entity","0"
"EntityBubbleFX","net/minecraft/client/f/a","","net/minecraft/client/particle","0"
"EffectRenderer","net/minecraft/client/f/d","","net/minecraft/client/particle","0"
"Path","net/minecraft/a/a/a/d","","net/minecraft/game/entity","0"
"EntityFlameFX","net/minecraft/client/f/c","","net/minecraft/client/particle","0"
"EntitySmokeFX","net/minecraft/client/f/j","","net/minecraft/client/particle","0"
"EntityRainFX","net/minecraft/client/f/i","","net/minecraft/client/particle","0"
"EntityFX","net/minecraft/client/f/k","","net/minecraft/client/particle","0"
"TileEntityChest","net/minecraft/a/a/b/a/c","","net/minecraft/game/block/tileentity","0"
"TileEntity","net/minecraft/a/a/b/a/a","","net/minecraft/game/block/tileentity","0"
"TileEntityFurnace","net/minecraft/a/a/b/a/b","","net/minecraft/game/block/tileentity","0"
"EntityPlayer","net/minecraft/a/c/e/a","","net/minecraft/game/entity/player","0"
"InventoryPlayer","net/minecraft/a/c/e/b","","net/minecraft/game/entity/player","0"
"EntityPlayerSP","net/minecraft/client/g/a","","net/minecraft/client/player","0"
"MovementInputFromOptions","net/minecraft/client/g/c","","net/minecraft/client/player","0"
"MovementInput","net/minecraft/client/g/b","","net/minecraft/client/player","0"
"EntityArrow","net/minecraft/a/c/d/a","","net/minecraft/game/entity/other","0"
"GameSettings","net/minecraft/client/q","","net/minecraft/client","0"
"MinecraftError","net/minecraft/client/p","","net/minecraft/client","0"
"GuiMainMenu","net/minecraft/client/r","","net/minecraft/client/gui","0"
"MouseHelper","net/minecraft/client/m","","net/minecraft/client","0"
"Slot","net/minecraft/client/c/a/g","","net/minecraft/client/gui","0"
"Session","net/minecraft/client/l","","net/minecraft/client","0"
"GuiInventory","net/minecraft/client/c/a/f","","net/minecraft/client/gui","0"
"GuiChest","net/minecraft/client/c/a/i","","net/minecraft/client/gui","0"
"EnumOSMappingHelper","net/minecraft/client/o","","net/minecraft/client","0"
"ThreadSleepForever","net/minecraft/client/n","","net/minecraft/client","0"
"InventoryCraftResult","net/minecraft/client/c/a/h","","net/minecraft/client/inventory","0"
"OpenGlCapsChecker","net/minecraft/client/i","","net/minecraft/client","0"
"GuiFurnace","net/minecraft/client/c/a/c","","net/minecraft/client/gui","0"
"KeyBinding","net/minecraft/client/h","","net/minecraft/client","0"
"GuiCrafting","net/minecraft/client/c/a/b","","net/minecraft/client/gui","0"
"SlotArmor","net/minecraft/client/c/a/e","","net/minecraft/client/gui","0"
"ChatLine","net/minecraft/client/k","","net/minecraft/client/gui","0"
"ThreadDownloadResources","net/minecraft/client/j","","net/minecraft/client","0"
"SlotCrafting","net/minecraft/client/c/a/d","","net/minecraft/client/gui","0"
"EnumOS","net/minecraft/client/e","","net/minecraft/client","0"
"Minecraft","net/minecraft/client/d","","net/minecraft/client","0"
"Timer","net/minecraft/client/g","","net/minecraft/client","0"
"InventoryCrafting","net/minecraft/client/c/a/a","","net/minecraft/client/inventory","0"
"PlayerLoader","net/minecraft/client/f","","net/minecraft/client","0"
"LoadingScreenRenderer","net/minecraft/client/a","","net/minecraft/client","0"
