"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"fuse","fuse","a","I","I","net/minecraft/game/entity/misc/EntityTNTPrimed","net/minecraft/a/c/c/a","net/minecraft/game/entity/misc","0"
"healAmount","healAmount","as","I","I","net/minecraft/game/item/ItemFood","net/minecraft/a/b/p","net/minecraft/game/item","0"
"delayBeforeCanPickup","delayBeforeCanPickup","O","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"unknownEntityItemInt","unknownEntityItemInt","Q","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"age","age","b","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"health","health","R","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"hoverStart","hoverStart","P","F","F","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"item","item","a","Lnet/minecraft/game/item/ItemStack;","Lnet/minecraft/a/b/k;","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"random","random","e","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"renderBlocks","renderBlocks","d","Lnet/minecraft/client/render/RenderBlocks;","Lnet/minecraft/client/a/f;","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"blockRenderer","blockRenderer","d","Lnet/minecraft/client/render/RenderBlocks;","Lnet/minecraft/client/a/f;","net/minecraft/client/render/entity/RenderTNTPrimed","net/minecraft/client/a/a/d","net/minecraft/client/render/entity","0"
"armorFilenamePrefix","armorFilenamePrefix","h","[Ljava/lang/String;","[Ljava/lang/String;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"modelArmor","modelArmor","g","Lnet/minecraft/client/model/ModelBiped;","Lnet/minecraft/client/b/h;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"modelArmorChestplate","modelArmorChestplate","f","Lnet/minecraft/client/model/ModelBiped;","Lnet/minecraft/client/b/h;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"modelBipedMain","modelBipedMain","e","Lnet/minecraft/client/model/ModelBiped;","Lnet/minecraft/client/b/h;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"renderManager","renderManager","a","Lnet/minecraft/client/render/entity/RenderManager;","Lnet/minecraft/client/a/a/i;","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"shadowOpaque","shadowOpaque","c","F","F","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"shadowSize","shadowSize","b","F","F","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"renderEngine","renderEngine","b","Lnet/minecraft/client/render/RenderEngine;","Lnet/minecraft/client/a/k;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"viewerPosZ","viewerPosZ","h","F","F","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"entityRenderMap","entityRenderMap","e","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"viewerPosY","viewerPosY","g","F","F","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"instance","instance","a","Lnet/minecraft/client/render/entity/RenderManager;","Lnet/minecraft/client/a/a/i;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"playerViewY","playerViewY","d","F","F","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"viewerPosX","viewerPosX","f","F","F","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"worldObj","worldObj","c","Lnet/minecraft/game/level/World;","Lnet/minecraft/a/a/g;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"rand","rand","d","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/client/render/entity/RenderPainting","net/minecraft/client/a/a/h","net/minecraft/client/render/entity","0"
