"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"renderItemIntoGUI","renderItemIntoGUI","a","(Lnet/minecraft/client/renderer/RenderEngine;Lnet/minecraft/game/item/ItemStack;II)V","(Lnet/minecraft/client/a/k;Lnet/minecraft/a/b/k;II)V","net/minecraft/client/renderer/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/renderer/entity","0"
"renderItemOverlayIntoGUI","renderItemOverlayIntoGUI","a","(Lnet/minecraft/client/gui/FontRenderer;Lnet/minecraft/game/item/ItemStack;II)V","(Lnet/minecraft/client/c/j;Lnet/minecraft/a/b/k;II)V","net/minecraft/client/renderer/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/renderer/entity","0"
"renderQuad","renderQuad","a","(Lnet/minecraft/client/renderer/Tessellator;IIIII)V","(Lnet/minecraft/client/a/d;IIIII)V","net/minecraft/client/renderer/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/renderer/entity","0"
"renderPlayer","renderPlayer","a","(Lnet/minecraft/game/entity/player/EntityPlayer;FFFFF)V","(Lnet/minecraft/a/c/e/a;FFFFF)V","net/minecraft/client/renderer/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/renderer/entity","0"
"drawFirstPersonHand","drawFirstPersonHand","a","()V","()V","net/minecraft/client/renderer/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/renderer/entity","0"
"setRenderManager","setRenderManager","a","(Lnet/minecraft/client/renderer/entity/RenderManager;)V","(Lnet/minecraft/client/a/a/i;)V","net/minecraft/client/renderer/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/renderer/entity","0"
"doRender","doRender","a","(Lnet/minecraft/game/entity/Entity;FFFFF)V","(Lnet/minecraft/a/c/b;FFFFF)V","net/minecraft/client/renderer/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/renderer/entity","0"
"loadDownloadableImageTexture","loadDownloadableImageTexture","a","(Ljava/lang/String;Ljava/lang/String;)V","(Ljava/lang/String;Ljava/lang/String;)V","net/minecraft/client/renderer/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/renderer/entity","0"
"loadTexture","loadTexture","a","(Ljava/lang/String;)V","(Ljava/lang/String;)V","net/minecraft/client/renderer/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/renderer/entity","0"
"renderShadow","renderShadow","a","(Lnet/minecraft/game/entity/Entity;FFFF)V","(Lnet/minecraft/a/c/b;FFFF)V","net/minecraft/client/renderer/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/renderer/entity","0"
"renderOffsetAABB","renderOffsetAABB","a","(Lnet/minecraft/client/physics/AxisAlignedBB;)V","(Lnet/minecraft/a/d/b;)V","net/minecraft/client/renderer/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/renderer/entity","0"
"set","set","a","(Lnet/minecraft/game/level/World;)V","(Lnet/minecraft/a/a/g;)V","net/minecraft/client/renderer/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/renderer/entity","0"
"getDistanceToCamera","getDistanceToCamera","a","(FFF)F","(FFF)F","net/minecraft/client/renderer/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/renderer/entity","0"
"getEntityRenderObject","getEntityRenderObject","a","(Lnet/minecraft/game/entity/Entity;)Lnet/minecraft/client/renderer/entity/Render;","(Lnet/minecraft/a/c/b;)Lnet/minecraft/client/a/a/f;","net/minecraft/client/renderer/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/renderer/entity","0"
"cacheActiveRenderInfo","cacheActiveRenderInfo","a","(Lnet/minecraft/game/level/World;Lnet/minecraft/client/renderer/RenderEngine;Lnet/minecraft/game/entity/player/EntityPlayer;F)V","(Lnet/minecraft/a/a/g;Lnet/minecraft/client/a/k;Lnet/minecraft/a/c/e/a;F)V","net/minecraft/client/renderer/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/renderer/entity","0"
"renderEntityWithPosYaw","renderEntityWithPosYaw","a","(Lnet/minecraft/game/entity/Entity;FFFFF)V","(Lnet/minecraft/a/c/b;FFFFF)V","net/minecraft/client/renderer/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/renderer/entity","0"
"renderEntity","renderEntity","a","(Lnet/minecraft/game/entity/Entity;F)V","(Lnet/minecraft/a/c/b;F)V","net/minecraft/client/renderer/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/renderer/entity","0"
"getColorMultiplier","getColorMultiplier","a","(Lnet/minecraft/game/entity/EntityLiving;FF)I","(Lnet/minecraft/a/c/e;FF)I","net/minecraft/client/renderer/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/renderer/entity","0"
"preRenderCallback","preRenderCallback","a","(Lnet/minecraft/game/entity/EntityLiving;F)V","(Lnet/minecraft/a/c/e;F)V","net/minecraft/client/renderer/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/renderer/entity","0"
"shouldRenderPass","shouldRenderPass","a","(Lnet/minecraft/game/entity/EntityLiving;I)Z","(Lnet/minecraft/a/c/e;I)Z","net/minecraft/client/renderer/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/renderer/entity","0"
"getDeathMaxRotation","getDeathMaxRotation","a","(Lnet/minecraft/game/entity/EntityLiving;)F","(Lnet/minecraft/a/c/e;)F","net/minecraft/client/renderer/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/renderer/entity","0"
"setRenderPassModel","setRenderPassModel","a","(Lnet/minecraft/client/model/ModelBase;)V","(Lnet/minecraft/client/b/l;)V","net/minecraft/client/renderer/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/renderer/entity","0"
