"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"renderItemIntoGUI","renderItemIntoGUI","a","(Lnet/minecraft/client/render/RenderEngine;Lnet/minecraft/game/item/ItemStack;II)V","(Lnet/minecraft/client/a/k;Lnet/minecraft/a/b/k;II)V","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"renderItemOverlayIntoGUI","renderItemOverlayIntoGUI","a","(Lnet/minecraft/client/gui/FontRenderer;Lnet/minecraft/game/item/ItemStack;II)V","(Lnet/minecraft/client/c/k;Lnet/minecraft/a/b/k;II)V","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"renderQuad","renderQuad","a","(Lnet/minecraft/client/render/Tessellator;IIIII)V","(Lnet/minecraft/client/a/d;IIIII)V","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"drawFirstPersonHand","drawFirstPersonHand","a","()V","()V","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"renderPlayer","renderPlayer","a","(Lnet/minecraft/game/entity/player/EntityPlayer;DDDFF)V","(Lnet/minecraft/a/c/e/a;DDDFF)V","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"setRenderManager","setRenderManager","a","(Lnet/minecraft/client/render/entity/RenderManager;)V","(Lnet/minecraft/client/a/a/i;)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"doRender","doRender","a","(Lnet/minecraft/game/entity/Entity;DDDFF)V","(Lnet/minecraft/a/c/b;DDDFF)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"loadDownloadableImageTexture","loadDownloadableImageTexture","a","(Ljava/lang/String;Ljava/lang/String;)V","(Ljava/lang/String;Ljava/lang/String;)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"loadTexture","loadTexture","a","(Ljava/lang/String;)V","(Ljava/lang/String;)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"renderShadow","renderShadow","a","(Lnet/minecraft/game/entity/Entity;DDDF)V","(Lnet/minecraft/a/c/b;DDDF)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"set","set","a","(Lnet/minecraft/game/world/World;)V","(Lnet/minecraft/a/a/g;)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"getDistanceToCamera","getDistanceToCamera","a","(DDD)D","(DDD)D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"getEntityRenderObject","getEntityRenderObject","a","(Lnet/minecraft/game/entity/Entity;)Lnet/minecraft/client/render/entity/Render;","(Lnet/minecraft/a/c/b;)Lnet/minecraft/client/a/a/f;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"renderEntityWithPosYaw","renderEntityWithPosYaw","a","(Lnet/minecraft/game/entity/Entity;DDDFF)V","(Lnet/minecraft/a/c/b;DDDFF)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"cacheActiveRenderInfo","cacheActiveRenderInfo","a","(Lnet/minecraft/game/world/World;Lnet/minecraft/client/render/RenderEngine;Lnet/minecraft/game/entity/player/EntityPlayer;F)V","(Lnet/minecraft/a/a/g;Lnet/minecraft/client/a/k;Lnet/minecraft/a/c/e/a;F)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"renderEntity","renderEntity","a","(Lnet/minecraft/game/entity/Entity;F)V","(Lnet/minecraft/a/c/b;F)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"preRenderCallback","preRenderCallback","a","(Lnet/minecraft/game/entity/EntityLiving;F)V","(Lnet/minecraft/a/c/f;F)V","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"shouldRenderPass","shouldRenderPass","a","(Lnet/minecraft/game/entity/EntityLiving;I)Z","(Lnet/minecraft/a/c/f;I)Z","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"getDeathMaxRotation","getDeathMaxRotation","a","(Lnet/minecraft/game/entity/EntityLiving;)F","(Lnet/minecraft/a/c/f;)F","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"getColorMultiplier","getColorMultiplier","a","(Lnet/minecraft/game/entity/EntityLiving;FF)I","(Lnet/minecraft/a/c/f;FF)I","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"setRenderPassModel","setRenderPassModel","a","(Lnet/minecraft/client/model/ModelBase;)V","(Lnet/minecraft/client/b/l;)V","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"tryToSetLibraryAndCodecs","tryToSetLibraryAndCodecs","c","()V","()V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"addSound","addSound","a","(Ljava/lang/String;Ljava/io/File;)V","(Ljava/lang/String;Ljava/io/File;)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"closeMinecraft","closeMinecraft","b","()V","()V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"loadSoundSettings","loadSoundSettings","a","(Lnet/minecraft/client/GameSettings;)V","(Lnet/minecraft/client/p;)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"playSound","playSound","a","(Ljava/lang/String;FFFFF)V","(Ljava/lang/String;FFFFF)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"onSoundOptionsChanged","onSoundOptionsChanged","a","()V","()V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"playSoundFX","playSoundFX","a","(Ljava/lang/String;FF)V","(Ljava/lang/String;FF)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"addMusic","addMusic","b","(Ljava/lang/String;Ljava/io/File;)V","(Ljava/lang/String;Ljava/io/File;)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"setListener","setListener","a","(Lnet/minecraft/game/entity/EntityLiving;F)V","(Lnet/minecraft/a/c/f;F)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"addSound","addSound","a","(Ljava/lang/String;Ljava/io/File;)Lnet/minecraft/client/sound/SoundPoolEntry;","(Ljava/lang/String;Ljava/io/File;)Lnet/minecraft/client/e/a;","net/minecraft/client/sound/SoundPool","net/minecraft/client/e/b","net/minecraft/client/sound","0"
"getRandomSoundFromSoundPool","getRandomSoundFromSoundPool","a","(Ljava/lang/String;)Lnet/minecraft/client/sound/SoundPoolEntry;","(Ljava/lang/String;)Lnet/minecraft/client/e/a;","net/minecraft/client/sound/SoundPool","net/minecraft/client/e/b","net/minecraft/client/sound","0"
"abs","abs","e","(F)F","(F)F","util/MathHelper","a/a","util","0"
"floor_double","floor_double","b","(D)I","(D)I","util/MathHelper","a/a","util","0"
"sqrt_double","sqrt_double","a","(D)F","(D)F","util/MathHelper","a/a","util","0"
"cos","cos","b","(F)F","(F)F","util/MathHelper","a/a","util","0"
"floor_float","floor_float","d","(F)I","(F)I","util/MathHelper","a/a","util","0"
"sin","sin","a","(F)F","(F)F","util/MathHelper","a/a","util","0"
"sqrt_float","sqrt_float","c","(F)F","(F)F","util/MathHelper","a/a","util","0"
"generateNoiseOctaves","generateNoiseOctaves","a","([DIIIIIIDDD)[D","([DIIIIIIDDD)[D","net/minecraft/game/world/terrain/noise/NoiseGeneratorOctaves","net/minecraft/a/a/c/a/c","net/minecraft/game/world/terrain/noise","0"
"noiseGenerator","noiseGenerator","a","(DD)D","(DD)D","net/minecraft/game/world/terrain/noise/NoiseGeneratorOctaves","net/minecraft/a/a/c/a/c","net/minecraft/game/world/terrain/noise","0"
"generateNoiseOctaves","generateNoiseOctaves","a","(DDD)D","(DDD)D","net/minecraft/game/world/terrain/noise/NoiseGeneratorOctaves","net/minecraft/a/a/c/a/c","net/minecraft/game/world/terrain/noise","0"
"equals","equals","equals","(Ljava/lang/Object;)Z","(Ljava/lang/Object;)Z","net/minecraft/game/world/ChunkPosition","net/minecraft/a/a/h","net/minecraft/game/world","0"
"performSpawning","performSpawning","a","(Lnet/minecraft/game/world/World;ILnet/minecraft/game/entity/Entity;Lutil/IProgressUpdate;)I","(Lnet/minecraft/a/a/g;ILnet/minecraft/a/c/b;La/b;)I","net/minecraft/game/world/MobSpawner","net/minecraft/a/a/b","net/minecraft/game/world","0"
"onUpdate","onUpdate","a","(Lnet/minecraft/game/world/World;)V","(Lnet/minecraft/a/a/g;)V","net/minecraft/game/world/MobSpawner","net/minecraft/a/a/b","net/minecraft/game/world","0"
"releaseEntitySkin","releaseEntitySkin","b","(Lnet/minecraft/game/entity/Entity;)V","(Lnet/minecraft/a/c/b;)V","net/minecraft/game/world/IWorldAccess","net/minecraft/a/a/a","net/minecraft/game/world","0"
"spawnParticle","spawnParticle","a","(Ljava/lang/String;DDDDDD)V","(Ljava/lang/String;DDDDDD)V","net/minecraft/game/world/IWorldAccess","net/minecraft/a/a/a","net/minecraft/game/world","0"
"obtainEntitySkin","obtainEntitySkin","a","(Lnet/minecraft/game/entity/Entity;)V","(Lnet/minecraft/a/c/b;)V","net/minecraft/game/world/IWorldAccess","net/minecraft/a/a/a","net/minecraft/game/world","0"
"markBlockAndNeighborsNeedsUpdate","markBlockAndNeighborsNeedsUpdate","a","(III)V","(III)V","net/minecraft/game/world/IWorldAccess","net/minecraft/a/a/a","net/minecraft/game/world","0"
"updateAllRenderers","updateAllRenderers","d","()V","()V","net/minecraft/game/world/IWorldAccess","net/minecraft/a/a/a","net/minecraft/game/world","0"
"playSound","playSound","a","(Ljava/lang/String;DDDFF)V","(Ljava/lang/String;DDDFF)V","net/minecraft/game/world/IWorldAccess","net/minecraft/a/a/a","net/minecraft/game/world","0"
"markBlockRangeNeedsUpdate","markBlockRangeNeedsUpdate","a","(IIIIII)V","(IIIIII)V","net/minecraft/game/world/IWorldAccess","net/minecraft/a/a/a","net/minecraft/game/world","0"
"updateTileEntityChunkAndDoNothing","updateTileEntityChunkAndDoNothing","m","(III)V","(III)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"setBlockWithNotify","setBlockWithNotify","c","(IIII)Z","(IIII)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"isMaterialInBB","isMaterialInBB","a","(Lnet/minecraft/game/physics/AxisAlignedBB;Lnet/minecraft/game/world/material/Material;)Z","(Lnet/minecraft/a/d/b;Lnet/minecraft/a/a/d/c;)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"countEntities","countEntities","a","(Ljava/lang/Class;)I","(Ljava/lang/Class;)I","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"saveWorldIndirectly","saveWorldIndirectly","f","()V","()V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"lightUpdatesNeeded","lightUpdatesNeeded","g","()I","()I","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getEntitiesWithinAABBExcludingEntity","getEntitiesWithinAABBExcludingEntity","a","(Lnet/minecraft/game/entity/Entity;Lnet/minecraft/game/physics/AxisAlignedBB;)Ljava/util/List;","(Lnet/minecraft/a/c/b;Lnet/minecraft/a/d/b;)Ljava/util/List;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getSkyColor","getSkyColor","a","(F)Lnet/minecraft/game/physics/Vec3D;","(F)Lnet/minecraft/a/d/a;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getBlockTileEntity","getBlockTileEntity","i","(III)Lnet/minecraft/game/world/block/tileentity/TileEntity;","(III)Lnet/minecraft/a/a/b/a/a;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getBlockDensity","getBlockDensity","a","(Lnet/minecraft/game/physics/Vec3D;Lnet/minecraft/game/physics/AxisAlignedBB;)F","(Lnet/minecraft/a/d/a;Lnet/minecraft/a/d/b;)F","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"setBlockTileEntity","setBlockTileEntity","a","(IIILnet/minecraft/game/world/block/tileentity/TileEntity;)V","(IIILnet/minecraft/a/a/b/a/a;)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getBlockLightValue","getBlockLightValue","f","(III)I","(III)I","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"markBlocksDirtyVertical","markBlocksDirtyVertical","d","(IIII)V","(IIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"rayTraceBlocks","rayTraceBlocks","a","(Lnet/minecraft/game/physics/Vec3D;Lnet/minecraft/game/physics/Vec3D;)Lnet/minecraft/game/physics/MovingObjectPosition;","(Lnet/minecraft/a/d/a;Lnet/minecraft/a/d/a;)Lnet/minecraft/a/d/c;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"scheduleLightingUpdate","scheduleLightingUpdate","a","(Lnet/minecraft/game/world/EnumSkyBlock;IIIIII)V","(Lnet/minecraft/a/a/e;IIIIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"addWorldAccess","addWorldAccess","a","(Lnet/minecraft/game/world/IWorldAccess;)V","(Lnet/minecraft/a/a/a;)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getStarBrightness","getStarBrightness","e","(F)F","(F)F","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"saveWorld","saveWorld","a","(Z)V","(Z)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"setEntityDead","setEntityDead","b","(Lnet/minecraft/game/entity/Entity;)V","(Lnet/minecraft/a/c/b;)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"canBlockSeeTheSky","canBlockSeeTheSky","e","(III)Z","(III)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"notifyBlockOfNeighborChange","notifyBlockOfNeighborChange","i","(IIII)V","(IIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getBlockMaterial","getBlockMaterial","c","(III)Lnet/minecraft/game/world/material/Material;","(III)Lnet/minecraft/a/a/d/c;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getBlockLightValue_do","getBlockLightValue_do","a","(IIIZ)I","(IIIZ)I","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"setTileNoUpdate","setTileNoUpdate","a","(IIII)Z","(IIII)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getSavedLightValue","getSavedLightValue","a","(Lnet/minecraft/game/world/EnumSkyBlock;III)I","(Lnet/minecraft/a/a/e;III)I","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"neighborLightPropagationChanged","neighborLightPropagationChanged","a","(Lnet/minecraft/game/world/EnumSkyBlock;IIII)V","(Lnet/minecraft/a/a/e;IIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getChunkFromChunkCoords","getChunkFromChunkCoords","c","(II)Lnet/minecraft/game/world/chunk/Chunk;","(II)Lnet/minecraft/a/a/e/d;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getCloudColor","getCloudColor","c","(F)Lnet/minecraft/game/physics/Vec3D;","(F)Lnet/minecraft/a/d/a;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"removeWorldAccess","removeWorldAccess","b","(Lnet/minecraft/game/world/IWorldAccess;)V","(Lnet/minecraft/a/a/a;)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getLoadedEntityList","getLoadedEntityList","j","()Ljava/util/List;","()Ljava/util/List;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"deleteFiles","deleteFiles","a","([Ljava/io/File;)V","([Ljava/io/File;)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"levelEntities","levelEntities","c","()V","()V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"chunkExists","chunkExists","b","(II)Z","(II)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"dropOldChunks","dropOldChunks","k","()V","()V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"setBlockMetadataWithNotify","setBlockMetadataWithNotify","b","(IIII)V","(IIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getPlayerEntity","getPlayerEntity","e","()Lnet/minecraft/game/entity/Entity;","()Lnet/minecraft/a/c/b;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getBrightness","getBrightness","h","(III)F","(III)F","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"canExistingBlockSeeTheSky","canExistingBlockSeeTheSky","g","(III)Z","(III)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getDebugLoadedEntities","getDebugLoadedEntities","d","()Ljava/lang/String;","()Ljava/lang/String;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"extinguishFire","extinguishFire","g","(IIII)V","(IIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"swap","swap","a","(IIIIII)V","(IIIIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"isDaytime","isDaytime","b","()Z","()Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getWorldNBTTag","getWorldNBTTag","a","(Ljava/io/File;Ljava/lang/String;)Lcom/mojang/nbt/NBTTagCompound;","(Ljava/io/File;Ljava/lang/String;)Lcom/a/a/c;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getIsAnyLiquid","getIsAnyLiquid","c","(Lnet/minecraft/game/physics/AxisAlignedBB;)Z","(Lnet/minecraft/a/d/b;)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getBlockId","getBlockId","a","(III)I","(III)I","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getCelestialAngle","getCelestialAngle","b","(F)F","(F)F","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"removeBlockTileEntity","removeBlockTileEntity","j","(III)V","(III)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"spawnPlayer","spawnPlayer","a","()V","()V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"restartTimeOfDay","restartTimeOfDay","i","()V","()V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"setBlockMetadata","setBlockMetadata","h","(IIII)Z","(IIII)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"checkIfAABBIsClear1","checkIfAABBIsClear1","b","(Lnet/minecraft/game/physics/AxisAlignedBB;)Z","(Lnet/minecraft/a/d/b;)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getFogColor","getFogColor","d","(F)Lnet/minecraft/game/physics/Vec3D;","(F)Lnet/minecraft/a/d/a;","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"getHeightValue","getHeightValue","a","(II)I","(II)I","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"playSoundEffect","playSoundEffect","a","(DDDLjava/lang/String;FF)V","(DDDLjava/lang/String;FF)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"playSoundAtEntity","playSoundAtEntity","a","(Lnet/minecraft/game/entity/Entity;Ljava/lang/String;FF)V","(Lnet/minecraft/a/c/b;Ljava/lang/String;FF)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"updatingLighting","updatingLighting","h","()Z","()Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"notifyBlocksOfNeighborChange","notifyBlocksOfNeighborChange","e","(IIII)V","(IIII)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"isSolid","isSolid","k","(III)Z","(III)Z","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"unloadEntities","unloadEntities","b","(Ljava/util/List;)V","(Ljava/util/List;)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
"spawnEntityInWorld","spawnEntityInWorld","a","(Lnet/minecraft/game/entity/Entity;)V","(Lnet/minecraft/a/c/b;)V","net/minecraft/game/world/World","net/minecraft/a/a/g","net/minecraft/game/world","0"
