"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"splitStack","splitStack","a","(I)Lnet/minecraft/game/item/ItemStack;","(I)Lnet/minecraft/a/b/o;","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"getItemDamageForDisplay","getItemDamageForDisplay","b","()I","()I","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"getItem","getItem","a","()Lnet/minecraft/game/item/Item;","()Lnet/minecraft/a/b/k;","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"damageItem","damageItem","b","(I)V","(I)V","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"writeToNBT","writeToNBT","a","(Lcom/mojang/nbt/NBTTagCompound;)Lcom/mojang/nbt/NBTTagCompound;","(Lcom/a/a/c;)Lcom/a/a/c;","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"getWorld","getWorld","b","()Lnet/minecraft/game/world/World;","()Lnet/minecraft/a/a/h;","net/minecraft/game/entity/misc/EntityFallingSand","net/minecraft/a/c/c/c","net/minecraft/game/entity/misc","0"
"getPosOffset","getPosOffset","a","(DDDD)Lnet/minecraft/game/physics/Vec3D;","(DDDD)Lnet/minecraft/a/d/a;","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"getPos","getPos","e","(DDD)Lnet/minecraft/game/physics/Vec3D;","(DDD)Lnet/minecraft/a/d/a;","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"interact","interact","a","(Lnet/minecraft/game/entity/Entity;)V","(Lnet/minecraft/a/c/b;)V","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"renderItemIntoGUI","renderItemIntoGUI","a","(Lnet/minecraft/client/render/RenderEngine;Lnet/minecraft/game/item/ItemStack;II)V","(Lnet/minecraft/client/a/l;Lnet/minecraft/a/b/o;II)V","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"renderQuad","renderQuad","a","(Lnet/minecraft/client/render/Tessellator;IIIII)V","(Lnet/minecraft/client/a/d;IIIII)V","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"renderItemOverlayIntoGUI","renderItemOverlayIntoGUI","a","(Lnet/minecraft/client/gui/FontRenderer;Lnet/minecraft/game/item/ItemStack;II)V","(Lnet/minecraft/client/c/k;Lnet/minecraft/a/b/o;II)V","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"drawFirstPersonHand","drawFirstPersonHand","a","()V","()V","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"renderPlayer","renderPlayer","a","(Lnet/minecraft/game/entity/player/EntityPlayer;DDDFF)V","(Lnet/minecraft/a/c/e/a;DDDFF)V","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"setRenderManager","setRenderManager","a","(Lnet/minecraft/client/render/entity/RenderManager;)V","(Lnet/minecraft/client/a/a/j;)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"doRender","doRender","a","(Lnet/minecraft/game/entity/Entity;DDDFF)V","(Lnet/minecraft/a/c/b;DDDFF)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"loadDownloadableImageTexture","loadDownloadableImageTexture","a","(Ljava/lang/String;Ljava/lang/String;)V","(Ljava/lang/String;Ljava/lang/String;)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"loadTexture","loadTexture","a","(Ljava/lang/String;)V","(Ljava/lang/String;)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"doRenderShadowAndFire","doRenderShadowAndFire","a","(Lnet/minecraft/game/entity/Entity;DDDF)V","(Lnet/minecraft/a/c/b;DDDF)V","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"set","set","a","(Lnet/minecraft/game/world/World;)V","(Lnet/minecraft/a/a/h;)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"getDistanceToCamera","getDistanceToCamera","a","(DDD)D","(DDD)D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"renderEntityWithPosYaw","renderEntityWithPosYaw","a","(Lnet/minecraft/game/entity/Entity;DDDFF)V","(Lnet/minecraft/a/c/b;DDDFF)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"getEntityClassRenderObject","getEntityClassRenderObject","a","(Ljava/lang/Class;)Lnet/minecraft/client/render/entity/Render;","(Ljava/lang/Class;)Lnet/minecraft/client/a/a/f;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"cacheActiveRenderInfo","cacheActiveRenderInfo","a","(Lnet/minecraft/game/world/World;Lnet/minecraft/client/render/RenderEngine;Lnet/minecraft/client/gui/FontRenderer;Lnet/minecraft/game/entity/player/EntityPlayer;Lnet/minecraft/client/GameSettings;F)V","(Lnet/minecraft/a/a/h;Lnet/minecraft/client/a/l;Lnet/minecraft/client/c/k;Lnet/minecraft/a/c/e/a;Lnet/minecraft/client/u;F)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"renderEntity","renderEntity","a","(Lnet/minecraft/game/entity/Entity;F)V","(Lnet/minecraft/a/c/b;F)V","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"getEntityRenderObject","getEntityRenderObject","a","(Lnet/minecraft/game/entity/Entity;)Lnet/minecraft/client/render/entity/Render;","(Lnet/minecraft/a/c/b;)Lnet/minecraft/client/a/a/f;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"setRenderPassModel","setRenderPassModel","a","(Lnet/minecraft/client/model/ModelBase;)V","(Lnet/minecraft/client/b/n;)V","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/l","net/minecraft/client/render/entity","0"
"preRenderCallback","preRenderCallback","a","(Lnet/minecraft/game/entity/EntityLiving;F)V","(Lnet/minecraft/a/c/f;F)V","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/l","net/minecraft/client/render/entity","0"
"getDeathMaxRotation","getDeathMaxRotation","a","(Lnet/minecraft/game/entity/EntityLiving;)F","(Lnet/minecraft/a/c/f;)F","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/l","net/minecraft/client/render/entity","0"
"shouldRenderPass","shouldRenderPass","a","(Lnet/minecraft/game/entity/EntityLiving;I)Z","(Lnet/minecraft/a/c/f;I)Z","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/l","net/minecraft/client/render/entity","0"
"getColorMultiplier","getColorMultiplier","a","(Lnet/minecraft/game/entity/EntityLiving;FF)I","(Lnet/minecraft/a/c/f;FF)I","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/l","net/minecraft/client/render/entity","0"
"tryToSetLibraryAndCodecs","tryToSetLibraryAndCodecs","c","()V","()V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"addSound","addSound","a","(Ljava/lang/String;Ljava/io/File;)V","(Ljava/lang/String;Ljava/io/File;)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"loadSoundSettings","loadSoundSettings","a","(Lnet/minecraft/client/GameSettings;)V","(Lnet/minecraft/client/u;)V","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
