"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"fuse","fuse","a","I","I","net/minecraft/game/entity/misc/EntityTNTPrimed","net/minecraft/a/c/c/a","net/minecraft/game/entity/misc","0"
"blocksEffectiveAgainst","blocksEffectiveAgainst","aA","[Lnet/minecraft/game/world/block/Block;","[Lnet/minecraft/a/a/b/aa;","net/minecraft/game/item/ItemSpade","net/minecraft/a/b/p","net/minecraft/game/item","0"
"stackSize","stackSize","a","I","I","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"animationsToGo","animationsToGo","b","I","I","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"itemID","itemID","c","I","I","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"itemDamage","itemDamage","d","I","I","net/minecraft/game/item/ItemStack","net/minecraft/a/b/o","net/minecraft/game/item","0"
"blockID","blockID","a","I","I","net/minecraft/game/entity/misc/EntityFallingSand","net/minecraft/a/c/c/c","net/minecraft/game/entity/misc","0"
"fallTime","fallTime","b","I","I","net/minecraft/game/entity/misc/EntityFallingSand","net/minecraft/a/c/c/c","net/minecraft/game/entity/misc","0"
"item","item","a","Lnet/minecraft/game/item/ItemStack;","Lnet/minecraft/a/b/o;","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"age","age","b","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"delayBeforeCanPickup","delayBeforeCanPickup","S","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"age2","age2","U","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"health","health","V","I","I","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"hoverStart","hoverStart","T","F","F","net/minecraft/game/entity/misc/EntityItem","net/minecraft/a/c/c/b","net/minecraft/game/entity/misc","0"
"healAmount","healAmount","aA","I","I","net/minecraft/game/item/ItemFood","net/minecraft/a/b/t","net/minecraft/game/item","0"
"matrix","matrix","U","[[[I","[[[I","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"damageTaken","damageTaken","a","I","I","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"timeSinceHit","timeSinceHit","b","I","I","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"forwardDirection","forwardDirection","S","I","I","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"cargoItems","cargoItems","T","[Lnet/minecraft/game/item/ItemStack;","[Lnet/minecraft/a/b/o;","net/minecraft/game/entity/misc/EntityMinecart","net/minecraft/a/c/c/d","net/minecraft/game/entity/misc","0"
"random","random","e","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"renderBlocks","renderBlocks","d","Lnet/minecraft/client/render/RenderBlocks;","Lnet/minecraft/client/a/f;","net/minecraft/client/render/entity/RenderItem","net/minecraft/client/a/a/e","net/minecraft/client/render/entity","0"
"renderBlocks","renderBlocks","d","Lnet/minecraft/client/render/RenderBlocks;","Lnet/minecraft/client/a/f;","net/minecraft/client/render/entity/RenderTNTPrimed","net/minecraft/client/a/a/d","net/minecraft/client/render/entity","0"
"armorFilenamePrefix","armorFilenamePrefix","h","[Ljava/lang/String;","[Ljava/lang/String;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"modelArmorChestplate","modelArmorChestplate","f","Lnet/minecraft/client/model/ModelBiped;","Lnet/minecraft/client/b/j;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"modelBipedMain","modelBipedMain","e","Lnet/minecraft/client/model/ModelBiped;","Lnet/minecraft/client/b/j;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"modelArmor","modelArmor","g","Lnet/minecraft/client/model/ModelBiped;","Lnet/minecraft/client/b/j;","net/minecraft/client/render/entity/RenderPlayer","net/minecraft/client/a/a/g","net/minecraft/client/render/entity","0"
"shadowOpaque","shadowOpaque","c","F","F","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"renderManager","renderManager","a","Lnet/minecraft/client/render/entity/RenderManager;","Lnet/minecraft/client/a/a/j;","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"shadowSize","shadowSize","b","F","F","net/minecraft/client/render/entity/Render","net/minecraft/client/a/a/f","net/minecraft/client/render/entity","0"
"minecartModel","minecartModel","d","Lnet/minecraft/client/model/ModelBase;","Lnet/minecraft/client/b/n;","net/minecraft/client/render/entity/RenderMinecart","net/minecraft/client/a/a/i","net/minecraft/client/render/entity","0"
"rand","rand","d","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/client/render/entity/RenderPainting","net/minecraft/client/a/a/h","net/minecraft/client/render/entity","0"
"renderBlocks","renderBlocks","d","Lnet/minecraft/client/render/RenderBlocks;","Lnet/minecraft/client/a/f;","net/minecraft/client/render/entity/RenderFallingSand","net/minecraft/client/a/a/k","net/minecraft/client/render/entity","0"
"renderEngine","renderEngine","e","Lnet/minecraft/client/render/RenderEngine;","Lnet/minecraft/client/a/l;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"entityRenderMap","entityRenderMap","i","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"options","options","h","Lnet/minecraft/client/GameSettings;","Lnet/minecraft/client/u;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"instance","instance","a","Lnet/minecraft/client/render/entity/RenderManager;","Lnet/minecraft/client/a/a/j;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"renderPosY","renderPosY","c","D","D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"renderPosX","renderPosX","b","D","D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"playerViewY","playerViewY","g","F","F","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"worldObj","worldObj","f","Lnet/minecraft/game/world/World;","Lnet/minecraft/a/a/h;","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"renderPosZ","renderPosZ","d","D","D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"viewerPosY","viewerPosY","k","D","D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"viewerPosX","viewerPosX","j","D","D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"viewerPosZ","viewerPosZ","l","D","D","net/minecraft/client/render/entity/RenderManager","net/minecraft/client/a/a/j","net/minecraft/client/render/entity","0"
"renderPassModel","renderPassModel","e","Lnet/minecraft/client/model/ModelBase;","Lnet/minecraft/client/b/n;","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/l","net/minecraft/client/render/entity","0"
"mainModel","mainModel","d","Lnet/minecraft/client/model/ModelBase;","Lnet/minecraft/client/b/n;","net/minecraft/client/render/entity/RenderLiving","net/minecraft/client/a/a/l","net/minecraft/client/render/entity","0"
"soundUrl","soundUrl","b","Ljava/net/URL;","Ljava/net/URL;","net/minecraft/client/sound/SoundPoolEntry","net/minecraft/client/e/a","net/minecraft/client/sound","0"
"soundName","soundName","a","Ljava/lang/String;","Ljava/lang/String;","net/minecraft/client/sound/SoundPoolEntry","net/minecraft/client/e/a","net/minecraft/client/sound","0"
"scale","scale","e","F","F","net/minecraft/client/render/entity/RenderGiantZombie","net/minecraft/client/a/a/n","net/minecraft/client/render/entity","0"
"loaded","loaded","f","Z","Z","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"soundPoolMusic","soundPoolMusic","c","Lnet/minecraft/client/sound/SoundPool;","Lnet/minecraft/client/e/b;","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"soundPoolSounds","soundPoolSounds","b","Lnet/minecraft/client/sound/SoundPool;","Lnet/minecraft/client/e/b;","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"options","options","e","Lnet/minecraft/client/GameSettings;","Lnet/minecraft/client/u;","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"playedSoundsCount","playedSoundsCount","d","I","I","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"sndSystem","sndSystem","a","Lpaulscode/sound/SoundSystem;","Lpaulscode/sound/SoundSystem;","net/minecraft/client/sound/SoundManager","net/minecraft/client/e/c","net/minecraft/client/sound","0"
"nameToSoundPoolEntriesMapping","nameToSoundPoolEntriesMapping","b","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/client/sound/SoundPool","net/minecraft/client/e/b","net/minecraft/client/sound","0"
"numberOfSoundPoolEntries","numberOfSoundPoolEntries","c","I","I","net/minecraft/client/sound/SoundPool","net/minecraft/client/e/b","net/minecraft/client/sound","0"
"rand","rand","a","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/client/sound/SoundPool","net/minecraft/client/e/b","net/minecraft/client/sound","0"
"time","time","a","J","J","net/minecraft/game/world/chunk/loader/IsomEntityLoader","net/minecraft/a/a/c/a/d","net/minecraft/game/world/chunk/loader","0"
"worldLoader","worldLoader","c","Lnet/minecraft/game/world/chunk/loader/IsomWorldLoader;","Lnet/minecraft/a/a/c/a/a;","net/minecraft/game/world/chunk/loader/IsomEntityLoader","net/minecraft/a/a/c/a/d","net/minecraft/game/world/chunk/loader","0"
"versionNumber","versionNumber","e","S","S","net/minecraft/game/world/chunk/loader/IsomEntityLoader","net/minecraft/a/a/c/a/d","net/minecraft/game/world/chunk/loader","0"
"amount","amount","b","Ljava/lang/Long;","Ljava/lang/Long;","net/minecraft/game/world/chunk/loader/IsomEntityLoader","net/minecraft/a/a/c/a/d","net/minecraft/game/world/chunk/loader","0"
"channel","channel","f","Ljava/nio/channels/FileChannel;","Ljava/nio/channels/FileChannel;","net/minecraft/game/world/chunk/loader/IsomEntityLoader","net/minecraft/a/a/c/a/d","net/minecraft/game/world/chunk/loader","0"
"data","data","d","[S","[S","net/minecraft/game/world/chunk/loader/IsomEntityLoader","net/minecraft/a/a/c/a/d","net/minecraft/game/world/chunk/loader","0"
"createIfNecessary","createIfNecessary","b","Z","Z","net/minecraft/game/world/chunk/loader/ChunkLoader","net/minecraft/a/a/c/a/e","net/minecraft/game/world/chunk/loader","0"
"saveDir","saveDir","a","Ljava/io/File;","Ljava/io/File;","net/minecraft/game/world/chunk/loader/ChunkLoader","net/minecraft/a/a/c/a/e","net/minecraft/game/world/chunk/loader","0"
"SIN_TABLE","SIN_TABLE","a","[F","[F","util/MathHelper","a/a","util","0"
"y","y","b","I","I","net/minecraft/game/world/ChunkPosition","net/minecraft/a/a/i","net/minecraft/game/world","0"
"z","z","c","I","I","net/minecraft/game/world/ChunkPosition","net/minecraft/a/a/i","net/minecraft/game/world","0"
"x","x","a","I","I","net/minecraft/game/world/ChunkPosition","net/minecraft/a/a/i","net/minecraft/game/world","0"
"tickUpdateRandom","tickUpdateRandom","x","I","I","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"playerData","playerData","B","Lcom/mojang/nbt/NBTTagCompound;","Lcom/a/a/c;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"randInt","randInt","w","I","I","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"chunkProvider","chunkProvider","z","Lnet/minecraft/game/world/chunk/IChunkProvider;","Lnet/minecraft/a/a/c/a;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"difficultySetting","difficultySetting","g","I","I","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"cloudColor","cloudColor","v","J","J","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"sizeOnDisk","sizeOnDisk","n","J","J","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"editingBlocks","editingBlocks","d","Z","Z","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"fogColor","fogColor","u","J","J","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"loadedTileEntityList","loadedTileEntityList","a","Ljava/util/List;","Ljava/util/List;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"isNewWorld","isNewWorld","l","Z","Z","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"lightBrightnessTable","lightBrightnessTable","e","[F","[F","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"playerEntity","playerEntity","f","Lnet/minecraft/game/entity/Entity;","Lnet/minecraft/a/c/b;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"seed","seed","m","J","J","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"worldAccesses","worldAccesses","y","Ljava/util/List;","Ljava/util/List;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"skyColor","skyColor","t","J","J","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"unloadedEntityList","unloadedEntityList","q","Ljava/util/List;","Ljava/util/List;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"scheduledTickSet","scheduledTickSet","s","Ljava/util/Set;","Ljava/util/Set;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"skylightSubtracted","skylightSubtracted","c","I","I","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"loadedEntityList","loadedEntityList","p","Ljava/util/List;","Ljava/util/List;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"spawnZ","spawnZ","k","I","I","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"lightingToUpdate","lightingToUpdate","o","Ljava/util/List;","Ljava/util/List;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"worldTime","worldTime","b","J","J","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"spawnY","spawnY","j","I","I","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"levelFile","levelFile","A","Ljava/io/File;","Ljava/io/File;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"rscheduledTickTreeSet","rscheduledTickTreeSet","r","Ljava/util/TreeSet;","Ljava/util/TreeSet;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"rand","rand","h","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"spawnX","spawnX","i","I","I","net/minecraft/game/world/World","net/minecraft/a/a/h","net/minecraft/game/world","0"
"chunkMap","chunkMap","c","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/game/world/chunk/loader/IsomChunkProvider","net/minecraft/a/a/c/a/c","net/minecraft/game/world/chunk/loader","0"
"saveFolder","saveFolder","b","Ljava/io/File;","Ljava/io/File;","net/minecraft/game/world/chunk/loader/IsomChunkProvider","net/minecraft/a/a/c/a/c","net/minecraft/game/world/chunk/loader","0"
"bigEndian","bigEndian","a","Ljava/nio/ByteOrder;","Ljava/nio/ByteOrder;","net/minecraft/game/world/chunk/loader/IsomChunkProvider","net/minecraft/a/a/c/a/c","net/minecraft/game/world/chunk/loader","0"
"updateCounter","updateCounter","d","J","J","net/minecraft/game/world/chunk/loader/IsomChunkProvider","net/minecraft/a/a/c/a/c","net/minecraft/game/world/chunk/loader","0"
"canvasIsomPreview","canvasIsomPreview","a","Lnet/minecraft/isom/CanvasIsomPreview;","Lnet/minecraft/isom/a;","net/minecraft/isom/IsomPreviewApplet","net/minecraft/isom/IsomPreviewApplet","net/minecraft/isom","0"
"amount","amount","b","J","J","net/minecraft/game/world/chunk/loader/IsomLoadData","net/minecraft/a/a/c/a/f","net/minecraft/game/world/chunk/loader","0"
"channel","channel","a","Ljava/nio/channels/FileChannel;","Ljava/nio/channels/FileChannel;","net/minecraft/game/world/chunk/loader/IsomLoadData","net/minecraft/a/a/c/a/f","net/minecraft/game/world/chunk/loader","0"
"chunkLoader","chunkLoader","a","Lnet/minecraft/game/world/chunk/loader/IChunkLoader;","Lnet/minecraft/a/a/c/a/b;","net/minecraft/game/world/chunk/loader/IsomChunkLoader","net/minecraft/a/a/c/a/g","net/minecraft/game/world/chunk/loader","0"
"chunkLoader2","chunkLoader2","b","Lnet/minecraft/game/world/chunk/loader/IChunkLoader;","Lnet/minecraft/a/a/c/a/b;","net/minecraft/game/world/chunk/loader/IsomChunkLoader","net/minecraft/a/a/c/a/g","net/minecraft/game/world/chunk/loader","0"
"yCoord","yCoord","b","I","I","net/minecraft/game/world/NextTickListEntry","net/minecraft/a/a/c","net/minecraft/game/world","0"
"zCoord","zCoord","c","I","I","net/minecraft/game/world/NextTickListEntry","net/minecraft/a/a/c","net/minecraft/game/world","0"
"xCoord","xCoord","a","I","I","net/minecraft/game/world/NextTickListEntry","net/minecraft/a/a/c","net/minecraft/game/world","0"
"tickEntryID","tickEntryID","g","J","J","net/minecraft/game/world/NextTickListEntry","net/minecraft/a/a/c","net/minecraft/game/world","0"
"scheduledTime","scheduledTime","e","J","J","net/minecraft/game/world/NextTickListEntry","net/minecraft/a/a/c","net/minecraft/game/world","0"
"blockID","blockID","d","I","I","net/minecraft/game/world/NextTickListEntry","net/minecraft/a/a/c","net/minecraft/game/world","0"
"nextTickEntryID","nextTickEntryID","f","J","J","net/minecraft/game/world/NextTickListEntry","net/minecraft/a/a/c","net/minecraft/game/world","0"
"entityMax","entityMax","a","I","I","net/minecraft/game/world/SpawnerAnimals","net/minecraft/a/a/b","net/minecraft/game/world","0"
"entities","entities","c","[Ljava/lang/Class;","[Ljava/lang/Class;","net/minecraft/game/world/SpawnerAnimals","net/minecraft/a/a/b","net/minecraft/game/world","0"
"entityAmount","entityAmount","b","Ljava/lang/Class;","Ljava/lang/Class;","net/minecraft/game/world/SpawnerAnimals","net/minecraft/a/a/b","net/minecraft/game/world","0"
"worldObj","worldObj","d","Lnet/minecraft/game/world/World;","Lnet/minecraft/a/a/h;","net/minecraft/game/world/ChunkCache","net/minecraft/a/a/g","net/minecraft/game/world","0"
"chunkArray","chunkArray","c","[[Lnet/minecraft/game/world/chunk/Chunk;","[[Lnet/minecraft/a/a/c/e;","net/minecraft/game/world/ChunkCache","net/minecraft/a/a/g","net/minecraft/game/world","0"
"chunkZ","chunkZ","b","I","I","net/minecraft/game/world/ChunkCache","net/minecraft/a/a/g","net/minecraft/game/world","0"
"chunkX","chunkX","a","I","I","net/minecraft/game/world/ChunkCache","net/minecraft/a/a/g","net/minecraft/game/world","0"
"maxX","maxX","e","I","I","net/minecraft/game/world/MetadataChunkBlock","net/minecraft/a/a/f","net/minecraft/game/world","0"
"maxY","maxY","f","I","I","net/minecraft/game/world/MetadataChunkBlock","net/minecraft/a/a/f","net/minecraft/game/world","0"
"y","y","c","I","I","net/minecraft/game/world/MetadataChunkBlock","net/minecraft/a/a/f","net/minecraft/game/world","0"
"z","z","d","I","I","net/minecraft/game/world/MetadataChunkBlock","net/minecraft/a/a/f","net/minecraft/game/world","0"
"x","x","b","I","I","net/minecraft/game/world/MetadataChunkBlock","net/minecraft/a/a/f","net/minecraft/game/world","0"
"skyBlock","skyBlock","a","Lnet/minecraft/game/world/EnumSkyBlock;","Lnet/minecraft/a/a/e;","net/minecraft/game/world/MetadataChunkBlock","net/minecraft/a/a/f","net/minecraft/game/world","0"
"maxZ","maxZ","g","I","I","net/minecraft/game/world/MetadataChunkBlock","net/minecraft/a/a/f","net/minecraft/game/world","0"
"list2","list2","g","Ljava/util/List;","Ljava/util/List;","net/minecraft/game/world/chunk/loader/IsomWorldLoader","net/minecraft/a/a/c/a/a","net/minecraft/game/world/chunk/loader","0"
