"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"playerController","playerController","a","Lnet/minecraft/src/PlayerControllerSP;","Lbb;","net/minecraft/src/SpawnerMonsters","aa","net/minecraft/src","0"
"recipeItems","recipeItems","b","[[Ljava/lang/Object;","[[Ljava/lang/Object;","net/minecraft/src/RecipesArmor","ab","net/minecraft/src","0"
"recipePatterns","recipePatterns","a","[[Ljava/lang/String;","[[Ljava/lang/String;","net/minecraft/src/RecipesArmor","ab","net/minecraft/src","0"
"tagMap","tagMap","a","Ljava/util/Map;","Ljava/util/Map;","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"floatBuffer","floatBuffer","f","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"vboCount","vboCount","A","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"vertexCount","vertexCount","h","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"useVBO","useVBO","x","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"vertexBuffers","vertexBuffers","y","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"rawBufferIndex","rawBufferIndex","o","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"convertQuadsToTriangles","convertQuadsToTriangles","b","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"xOffset","xOffset","s","D","D","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"zOffset","zOffset","u","D","D","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"hasColor","hasColor","l","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"hasNormals","hasNormals","n","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"instance","instance","a","Lnet/minecraft/src/Tessellator;","Lag;","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"isColorDisabled","isColorDisabled","q","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"rawBuffer","rawBuffer","g","[I","[I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"bufferSize","bufferSize","B","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"isDrawing","isDrawing","w","Z","Z","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
"color","color","k","I","I","net/minecraft/src/Tessellator","ag","net/minecraft/src","0"
