"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"addRecipes","addRecipes","a","(Lnet/minecraft/src/CraftingManager;)V","(Lgy;)V","net/minecraft/src/RecipesArmor","ab","net/minecraft/src","0"
"getTagList","getTagList","j","(Ljava/lang/String;)Lnet/minecraft/src/NBTTagList;","(Ljava/lang/String;)Ler;","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setInteger","setInteger","a","(Ljava/lang/String;I)V","(Ljava/lang/String;I)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setTag","setTag","a","(Ljava/lang/String;Lnet/minecraft/src/NBTBase;)V","(Ljava/lang/String;Lhm;)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setLong","setLong","a","(Ljava/lang/String;J)V","(Ljava/lang/String;J)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getShort","getShort","c","(Ljava/lang/String;)S","(Ljava/lang/String;)S","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getBoolean","getBoolean","k","(Ljava/lang/String;)Z","(Ljava/lang/String;)Z","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setString","setString","a","(Ljava/lang/String;Ljava/lang/String;)V","(Ljava/lang/String;Ljava/lang/String;)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setByteArray","setByteArray","a","(Ljava/lang/String;[B)V","(Ljava/lang/String;[B)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setFloat","setFloat","a","(Ljava/lang/String;F)V","(Ljava/lang/String;F)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getCompoundTag","getCompoundTag","i","(Ljava/lang/String;)Lnet/minecraft/src/NBTTagCompound;","(Ljava/lang/String;)Lae;","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getLong","getLong","e","(Ljava/lang/String;)J","(Ljava/lang/String;)J","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getInteger","getInteger","d","(Ljava/lang/String;)I","(Ljava/lang/String;)I","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setCompoundTag","setCompoundTag","a","(Ljava/lang/String;Lnet/minecraft/src/NBTTagCompound;)V","(Ljava/lang/String;Lae;)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setBoolean","setBoolean","a","(Ljava/lang/String;Z)V","(Ljava/lang/String;Z)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getFloat","getFloat","f","(Ljava/lang/String;)F","(Ljava/lang/String;)F","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getByte","getByte","b","(Ljava/lang/String;)B","(Ljava/lang/String;)B","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setShort","setShort","a","(Ljava/lang/String;S)V","(Ljava/lang/String;S)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getByteArray","getByteArray","h","(Ljava/lang/String;)[B","(Ljava/lang/String;)[B","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"getString","getString","g","(Ljava/lang/String;)Ljava/lang/String;","(Ljava/lang/String;)Ljava/lang/String;","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"setByte","setByte","a","(Ljava/lang/String;B)V","(Ljava/lang/String;B)V","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
"hasKey","hasKey","a","(Ljava/lang/String;)Z","(Ljava/lang/String;)Z","net/minecraft/src/NBTTagCompound","ae","net/minecraft/src","0"
